,FMS_LON,FMS_LAT
0,-75.4621,37.9381
1,-75.4625,37.9376
2,-75.4629,37.9371
3,-75.4633,37.9365
4,-75.4637,37.936
5,-75.4642,37.9354
6,-75.4646,37.9348
7,-75.465,37.9343
8,-75.4655,37.9337
9,-75.4659,37.9332
10,-75.4664,37.9326
11,-75.4668,37.9321
12,-75.4673,37.9315
13,-75.4677,37.9309
14,-75.4682,37.9304
15,-75.4686,37.9298
16,-75.4691,37.9292
17,-75.4695,37.9286
18,-75.47,37.928000000000004
19,-75.4704,37.9274
20,-75.4709,37.9268
21,-75.4713,37.9262
22,-75.4718,37.9255
23,-75.4722,37.9249
24,-75.4727,37.9244
25,-75.4732,37.9237
26,-75.4736,37.923
27,-75.47399999999999,37.9224
28,-75.4745,37.9217
29,-75.475,37.921
30,-75.4755,37.9203
31,-75.4759,37.9196
32,-75.4764,37.9189
33,-75.4768,37.9182
34,-75.4773,37.9175
35,-75.4777,37.9167
36,-75.4782,37.916
37,-75.4786,37.9152
38,-75.4791,37.9144
39,-75.4795,37.9136
40,-75.4799,37.9128
41,-75.4804,37.912
42,-75.4807,37.9112
43,-75.4812,37.9103
44,-75.4816,37.9094
45,-75.482,37.9086
46,-75.4824,37.9077
47,-75.4828,37.9069
48,-75.4832,37.906
49,-75.4836,37.9051
50,-75.484,37.9042
51,-75.4844,37.9033
52,-75.4848,37.9024
53,-75.485,37.9014
54,-75.4853,37.9005
55,-75.4855,37.8996
56,-75.4857,37.8987
57,-75.4858,37.8977
58,-75.4858,37.8967
59,-75.4858,37.8957
60,-75.4858,37.8947
61,-75.4857,37.8938
62,-75.4856,37.8928
63,-75.4853,37.8918
64,-75.4851,37.8909
65,-75.4847,37.89
66,-75.4844,37.889
67,-75.4839,37.8881
68,-75.4835,37.8871
69,-75.4829,37.8862
70,-75.4824,37.8853
71,-75.4817,37.8845
72,-75.48100000000001,37.8837
73,-75.4803,37.8828
74,-75.4795,37.882
75,-75.4787,37.8812
76,-75.4778,37.8804
77,-75.4769,37.8797
78,-75.476,37.8789
79,-75.4752,37.8782
80,-75.4741,37.8776
81,-75.473,37.876999999999995
82,-75.4719,37.8764
83,-75.4708,37.8758
84,-75.4696,37.8752
85,-75.4684,37.8748
86,-75.4672,37.8743
87,-75.4659,37.8739
88,-75.4646,37.8735
89,-75.4633,37.8732
90,-75.462,37.8729
91,-75.4606,37.8726
92,-75.4592,37.8724
93,-75.4579,37.8722
94,-75.4564,37.8721
95,-75.455,37.8719
96,-75.4536,37.8719
97,-75.4522,37.8719
98,-75.4507,37.8719
99,-75.4493,37.872
100,-75.4479,37.8721
101,-75.4464,37.8723
102,-75.445,37.8725
103,-75.4436,37.8727
104,-75.4421,37.873000000000005
105,-75.4407,37.8734
106,-75.4393,37.8737
107,-75.4379,37.8741
108,-75.4366,37.8746
109,-75.4352,37.8751
110,-75.4339,37.8756
111,-75.4326,37.8762
112,-75.4313,37.8768
113,-75.43,37.8775
114,-75.4288,37.8782
115,-75.4276,37.8789
116,-75.4265,37.8797
117,-75.4253,37.8805
118,-75.4242,37.8813
119,-75.4232,37.8822
120,-75.4221,37.8831
121,-75.4212,37.884
122,-75.4202,37.885
123,-75.4193,37.885999999999996
124,-75.4185,37.887
125,-75.4176,37.888000000000005
126,-75.4169,37.889
127,-75.4161,37.8901
128,-75.4155,37.8912
129,-75.4149,37.8923
130,-75.4143,37.8934
131,-75.4138,37.8946
132,-75.4133,37.8958
133,-75.4129,37.8969
134,-75.4126,37.898
135,-75.4124,37.8989
136,-75.41199999999999,37.9
137,-75.4118,37.9013
138,-75.4117,37.9024
139,-75.4117,37.9034
140,-75.4115,37.9047
141,-75.4115,37.9059
142,-75.4115,37.9071
143,-75.4116,37.9081
144,-75.4116,37.9094
145,-75.4117,37.9106
146,-75.4117,37.9118
147,-75.4119,37.9128
148,-75.4119,37.9141
149,-75.4119,37.9153
150,-75.4121,37.9165
151,-75.4122,37.9176
152,-75.4123,37.9188
153,-75.4124,37.9201
154,-75.4125,37.9212
