,FMS_LON,FMS_LAT
0,-75.4633,37.9373
1,-75.4638,37.9368
2,-75.4642,37.9363
3,-75.4647,37.9357
4,-75.4651,37.935
5,-75.4655,37.9345
6,-75.46600000000001,37.9339
7,-75.4665,37.9333
8,-75.4669,37.9328
9,-75.4674,37.9322
10,-75.4678,37.9316
11,-75.4683,37.931
12,-75.4688,37.9305
13,-75.4692,37.9299
14,-75.4697,37.9293
15,-75.4702,37.9287
16,-75.4706,37.9282
17,-75.4711,37.9276
18,-75.4716,37.927
19,-75.4721,37.9264
20,-75.4725,37.9258
21,-75.473,37.9252
22,-75.4735,37.9246
23,-75.47399999999999,37.9239
24,-75.4745,37.9233
25,-75.4749,37.9227
26,-75.4754,37.922
27,-75.4758,37.9214
28,-75.4762,37.9207
29,-75.4766,37.92
30,-75.477,37.9193
31,-75.4773,37.9185
32,-75.4777,37.9178
33,-75.47800000000001,37.917
34,-75.4782,37.9162
35,-75.4784,37.9154
36,-75.4786,37.9145
37,-75.4787,37.9137
38,-75.4788,37.9128
39,-75.4788,37.912
40,-75.4788,37.9111
41,-75.4788,37.9103
42,-75.4788,37.9093
43,-75.4786,37.9085
44,-75.4785,37.9075
45,-75.4783,37.9067
46,-75.47800000000001,37.9058
47,-75.4777,37.9049
48,-75.4773,37.904
49,-75.4769,37.903
50,-75.4764,37.9022
51,-75.4759,37.9012
52,-75.4754,37.9004
53,-75.4747,37.8996
54,-75.4741,37.8987
55,-75.4734,37.8978
56,-75.4727,37.897
57,-75.4719,37.8962
58,-75.4711,37.8953
59,-75.4703,37.8945
60,-75.4694,37.8937
61,-75.4685,37.893
62,-75.4676,37.8922
63,-75.4666,37.8915
64,-75.4656,37.8907
65,-75.4646,37.89
66,-75.4636,37.8893
67,-75.4625,37.8886
68,-75.4614,37.8879
69,-75.4603,37.8872
70,-75.4591,37.8866
71,-75.458,37.885999999999996
72,-75.4568,37.8853
73,-75.4555,37.8847
74,-75.4543,37.8842
75,-75.453,37.8836
76,-75.4519,37.883
77,-75.4505,37.8826
78,-75.4492,37.8821
79,-75.4478,37.8817
80,-75.4465,37.8812
81,-75.4451,37.8809
82,-75.4437,37.8806
83,-75.4422,37.8803
84,-75.4408,37.8801
85,-75.4393,37.8799
86,-75.4378,37.8797
87,-75.4363,37.8797
88,-75.4348,37.8796
89,-75.4333,37.8796
90,-75.4317,37.8797
91,-75.4302,37.8797
92,-75.4287,37.8798
93,-75.4271,37.8799
94,-75.4256,37.8802
95,-75.4241,37.8805
96,-75.4226,37.8809
97,-75.4211,37.8813
98,-75.4197,37.8817
99,-75.4182,37.8823
100,-75.4168,37.8828
101,-75.4154,37.8833
102,-75.414,37.8839
103,-75.4126,37.8845
104,-75.4113,37.8852
105,-75.41,37.8858
106,-75.4087,37.8865
107,-75.4074,37.8873
108,-75.4061,37.888000000000005
109,-75.4049,37.8887
110,-75.4037,37.8895
111,-75.4025,37.8903
112,-75.4013,37.8911
113,-75.4002,37.891999999999996
114,-75.3991,37.8928
115,-75.398,37.8937
116,-75.3969,37.8946
117,-75.3958,37.8954
118,-75.3948,37.8964
119,-75.3938,37.8973
120,-75.3929,37.8982
121,-75.3919,37.8992
122,-75.391,37.9002
123,-75.3901,37.9012
124,-75.3893,37.9021
125,-75.3884,37.9031
126,-75.3876,37.9041
127,-75.3868,37.9051
128,-75.3861,37.9062
129,-75.3854,37.9073
130,-75.3847,37.9083
131,-75.384,37.9094
132,-75.3834,37.9105
133,-75.3828,37.9116
134,-75.3822,37.9127
135,-75.3816,37.9137
136,-75.3811,37.9146
137,-75.3805,37.9157
138,-75.3801,37.9168
139,-75.3796,37.9179
140,-75.3792,37.9188
141,-75.3788,37.9201
142,-75.3784,37.9212
143,-75.3781,37.9223
144,-75.3778,37.9233
145,-75.3775,37.9245
146,-75.3772,37.9257
