,Lon,Lat
190,-96.185,19.14046
191,-96.185,19.14046
192,-96.185,19.14046
193,-96.185,19.14046
194,-96.185,19.14046
195,-96.185,19.14046
196,-96.185,19.14046
197,-96.185,19.14046
198,-96.185,19.14046
199,-96.185,19.14046
200,-96.185,19.14046
201,-96.185,19.14046
202,-96.185,19.14046
203,-96.185,19.14046
204,-96.185,19.14046
205,-96.185,19.14046
206,-96.185,19.14046
207,-96.185,19.14046
208,-96.185,19.14046
209,-96.185,19.14046
210,-96.185,19.14046
211,-96.185,19.14046
212,-96.185,19.14046
213,-96.185,19.14046
214,-96.185,19.14046
215,-96.185,19.14046
216,-96.185,19.14046
217,-96.185,19.14046
218,-96.185,19.14046
219,-96.185,19.14046
220,-96.185,19.14046
221,-96.185,19.14046
222,-96.185,19.14046
223,-96.185,19.14046
224,-96.185,19.14046
225,-96.185,19.14046
226,-96.185,19.14046
227,-96.185,19.14046
228,-96.185,19.14046
229,-96.185,19.14046
230,-96.185,19.14046
231,-96.185,19.14046
232,-96.18500999999999,19.14046
233,-96.18500999999999,19.14046
234,-96.18500999999999,19.14046
235,-96.18500999999999,19.14046
236,-96.18500999999999,19.14046
237,-96.18500999999999,19.14046
238,-96.18500999999999,19.14046
239,-96.18500999999999,19.14046
240,-96.18500999999999,19.14046
241,-96.18500999999999,19.14046
242,-96.18500999999999,19.14046
243,-96.18500999999999,19.14046
244,-96.18500999999999,19.14046
245,-96.18500999999999,19.14046
246,-96.18500999999999,19.14046
247,-96.18500999999999,19.14046
248,-96.18500999999999,19.14046
249,-96.18500999999999,19.14046
250,-96.18500999999999,19.14046
251,-96.18500999999999,19.14046
252,-96.18500999999999,19.14046
253,-96.18500999999999,19.14046
254,-96.18500999999999,19.14046
255,-96.18500999999999,19.14046
256,-96.18500999999999,19.14046
257,-96.18500999999999,19.14046
258,-96.18500999999999,19.14046
259,-96.18500999999999,19.14046
260,-96.18500999999999,19.14046
261,-96.18500999999999,19.14046
262,-96.18500999999999,19.14046
263,-96.18500999999999,19.14047
264,-96.18500999999999,19.14047
265,-96.18500999999999,19.14047
266,-96.18500999999999,19.14047
267,-96.18500999999999,19.14047
268,-96.18500999999999,19.14047
269,-96.18500999999999,19.14047
270,-96.18500999999999,19.14047
271,-96.18500999999999,19.14047
272,-96.18500999999999,19.14047
273,-96.18500999999999,19.14047
274,-96.18500999999999,19.14047
275,-96.18500999999999,19.14047
276,-96.18500999999999,19.14047
277,-96.18500999999999,19.14047
278,-96.18500999999999,19.14047
279,-96.18500999999999,19.14047
280,-96.18500999999999,19.14047
281,-96.18500999999999,19.14047
282,-96.18500999999999,19.14047
283,-96.18500999999999,19.14047
284,-96.18500999999999,19.14047
285,-96.18500999999999,19.14047
286,-96.18500999999999,19.14047
287,-96.18500999999999,19.14047
288,-96.18500999999999,19.14047
289,-96.18500999999999,19.14047
290,-96.18500999999999,19.14047
291,-96.18500999999999,19.14047
292,-96.18500999999999,19.14047
293,-96.18500999999999,19.14047
294,-96.18500999999999,19.14047
295,-96.18500999999999,19.14047
296,-96.18500999999999,19.14047
297,-96.18500999999999,19.14047
298,-96.18500999999999,19.14047
299,-96.18500999999999,19.14047
300,-96.18500999999999,19.14047
301,-96.18500999999999,19.14046
302,-96.18500999999999,19.14046
303,-96.18500999999999,19.14046
304,-96.18500999999999,19.14046
305,-96.18500999999999,19.14046
306,-96.18500999999999,19.14047
307,-96.18500999999999,19.14047
308,-96.18500999999999,19.14047
309,-96.18500999999999,19.14047
310,-96.18500999999999,19.14047
311,-96.18500999999999,19.14047
312,-96.18500999999999,19.14047
313,-96.18500999999999,19.14047
314,-96.18500999999999,19.14047
315,-96.18500999999999,19.14047
316,-96.18500999999999,19.14047
317,-96.18500999999999,19.14047
318,-96.18500999999999,19.14047
319,-96.18500999999999,19.14047
320,-96.18500999999999,19.14047
321,-96.18500999999999,19.14047
322,-96.18500999999999,19.14047
323,-96.18500999999999,19.14047
