,LONGITUDE,LATITUDE
0,-70.82667,43.08333
1,-70.82833000000001,43.08333
2,-70.82833000000001,43.08333
3,-70.82833000000001,43.085
4,-70.83,43.085
5,-70.83,43.085
6,-70.83,43.08667
7,-70.83166999999999,43.08667
8,-70.83166999999999,43.08833
9,-70.83166999999999,43.08833
10,-70.83333,43.09
11,-70.83333,43.09
12,-70.83333,43.09
13,-70.835,43.09167
14,-70.835,43.09167
15,-70.835,43.09333
16,-70.83667,43.09333
17,-70.83667,43.09333
18,-70.83667,43.095
19,-70.83833,43.095
20,-70.83833,43.09667
21,-70.83833,43.09667
22,-70.84,43.09833
23,-70.84,43.09833
24,-70.84,43.1
25,-70.84167,43.1
26,-70.84167,43.1
27,-70.84167,43.10167
28,-70.84333000000001,43.10167
29,-70.84333000000001,43.10333
30,-70.84333000000001,43.10333
31,-70.845,43.10333
32,-70.845,43.105
33,-70.845,43.105
34,-70.84666999999999,43.10667
35,-70.84666999999999,43.10667
36,-70.84666999999999,43.10833
37,-70.84833,43.10833
38,-70.84833,43.11
39,-70.85,43.11
40,-70.85,43.111670000000004
41,-70.85,43.111670000000004
42,-70.85167,43.111670000000004
43,-70.85167,43.11333
44,-70.85167,43.11333
45,-70.85333,43.115
46,-70.85333,43.115
47,-70.855,43.11667
48,-70.855,43.11667
49,-70.855,43.11833
50,-70.85667,43.11833
51,-70.85667,43.12
52,-70.85667,43.12
53,-70.85833000000001,43.12167
54,-70.85833000000001,43.12167
55,-70.86,43.123329999999996
56,-70.86,43.123329999999996
57,-70.86,43.123329999999996
58,-70.86166999999999,43.125
59,-70.86166999999999,43.125
60,-70.86166999999999,43.126670000000004
61,-70.86333,43.126670000000004
62,-70.86333,43.12833
63,-70.865,43.12833
64,-70.865,43.13
65,-70.865,43.13
66,-70.86667,43.13167
67,-70.86667,43.13167
68,-70.86833,43.13333
69,-70.86833,43.135
70,-70.86833,43.135
71,-70.87,43.135
72,-70.87,43.13667
73,-70.87167,43.13667
74,-70.87167,43.138329999999996
75,-70.87167,43.14
76,-70.87333000000001,43.14
77,-70.87333000000001,43.14167
78,-70.875,43.14167
79,-70.875,43.14333
80,-70.875,43.14333
81,-70.87666999999999,43.145
82,-70.87666999999999,43.145
83,-70.87833,43.14667
84,-70.87833,43.14667
85,-70.87833,43.14833
86,-70.88,43.14833
87,-70.88,43.15
88,-70.88167,43.15
89,-70.88167,43.15167
90,-70.88333,43.15167
91,-70.88333,43.15333
92,-70.88333,43.15333
93,-70.885,43.155
94,-70.885,43.15667
95,-70.88667,43.15667
96,-70.88667,43.15833
97,-70.88833000000001,43.15833
98,-70.88833000000001,43.16
99,-70.88833000000001,43.16
100,-70.89,43.16167
101,-70.89,43.16333
102,-70.89166999999999,43.16333
103,-70.89166999999999,43.165
104,-70.89333,43.165
105,-70.89333,43.16667
106,-70.895,43.16667
107,-70.895,43.16833
108,-70.895,43.16833
109,-70.89667,43.17
110,-70.89667,43.17
111,-70.89833,43.17167
112,-70.9,43.17167
113,-70.9,43.17333
114,-70.90167,43.175
115,-70.90167,43.175
116,-70.90333000000001,43.17667
117,-70.90333000000001,43.17667
118,-70.905,43.178329999999995
119,-70.90666999999999,43.178329999999995
120,-70.90666999999999,43.18
121,-70.90833,43.18
122,-70.91,43.181670000000004
123,-70.91,43.181670000000004
124,-70.91167,43.181670000000004
125,-70.91333,43.18333
126,-70.91333,43.18333
127,-70.915,43.185
128,-70.91667,43.185
129,-70.91833000000001,43.18667
130,-70.91833000000001,43.18667
131,-70.92,43.18833
132,-70.92166999999999,43.18833
133,-70.92166999999999,43.18833
134,-70.92333,43.19
135,-70.925,43.19
136,-70.92667,43.19167
137,-70.92667,43.19167
138,-70.92833,43.193329999999996
139,-70.93,43.193329999999996
140,-70.93167,43.193329999999996
141,-70.93333,43.195
142,-70.93333,43.195
143,-70.935,43.196670000000005
144,-70.93666999999999,43.196670000000005
145,-70.93833000000001,43.19833
146,-70.94,43.19833
147,-70.94,43.19833
148,-70.94167,43.2
149,-70.94333,43.2
150,-70.945,43.20167
151,-70.945,43.20167
152,-70.94667,43.20167
153,-70.94833,43.20333
154,-70.95,43.20333
155,-70.95167,43.205
156,-70.95333000000001,43.205
157,-70.95333000000001,43.205
158,-70.955,43.20667
159,-70.95666999999999,43.20667
160,-70.95833,43.20667
161,-70.96,43.20833
162,-70.96167,43.20833
163,-70.96167,43.21
164,-70.96333,43.21
165,-70.965,43.21
166,-70.96667,43.21167
167,-70.96833000000001,43.21167
168,-70.97,43.21167
169,-70.97166999999999,43.21333
170,-70.97166999999999,43.21333
171,-70.97333,43.21333
172,-70.975,43.215
173,-70.97667,43.215
174,-70.97833,43.215
175,-70.98,43.21667
176,-70.98167,43.21667
177,-70.98167,43.21667
178,-70.98333000000001,43.21833
179,-70.985,43.21833
180,-70.98666999999999,43.21833
181,-70.98833,43.22
182,-70.99,43.22
183,-70.99167,43.22
184,-70.99167,43.22167
185,-70.99333,43.22167
186,-70.995,43.22167
187,-70.99667,43.22333
188,-70.99833000000001,43.22333
189,-71.0,43.22333
190,-71.0,43.225
191,-71.00166999999999,43.225
192,-71.00333,43.225
193,-71.005,43.22667
194,-71.00667,43.22667
195,-71.00833,43.22667
196,-71.01,43.22833
197,-71.01,43.22833
198,-71.01167,43.22833
199,-71.01333000000001,43.23
200,-71.015,43.23
201,-71.01666999999999,43.23
202,-71.01833,43.23167
203,-71.02,43.23167
204,-71.02167,43.23167
205,-71.02333,43.23167
206,-71.025,43.23333
