,Longitude,Latitude
0,-118.0733642,34.632295
1,-118.07336950000001,34.6323297
2,-118.07337820000001,34.6323824
3,-118.0733854,34.632419899999995
4,-118.0733979,34.632477
5,-118.0734094,34.6325164
6,-118.0734322,34.632574600000005
7,-118.0734537,34.6326125
8,-118.07349690000001,34.6326636
9,-118.0735331,34.6326921
10,-118.07359779999999,34.6327259
11,-118.0736459,34.6327425
12,-118.0737232,34.6327595
13,-118.073779,34.6327662
14,-118.0738635,34.6327695
15,-118.07392309999999,34.6327686
16,-118.07401499999999,34.6327645
17,-118.0740821,34.632760299999994
18,-118.07419309999999,34.6327532
19,-118.0742825,34.6327479
20,-118.0744419,34.632738399999994
21,-118.07456880000001,34.6327305
22,-118.07478529999999,34.6327171
23,-118.07495109999999,34.632707200000006
24,-118.0752243,34.6326909
25,-118.0754278,34.63267929999999
26,-118.07575600000001,34.632661799999994
27,-118.07599640000001,34.6326491
28,-118.0763787,34.6326278
29,-118.07665559999998,34.6326125
30,-118.0770953,34.632589
31,-118.07740349999999,34.6325726
32,-118.07789509999999,34.6325445
33,-118.0782367,34.632525
34,-118.0787733,34.6324945
35,-118.0791534,34.63247379999999
36,-118.0797386,34.6324424
37,-118.0801511,34.63242
38,-118.0807835,34.632385799999994
39,-118.0812277,34.6323619
40,-118.0819058,34.632324600000004
41,-118.0823804,34.6322985
42,-118.08310290000001,34.6322607
43,-118.083607,34.632234600000004
44,-118.08437179999999,34.6321935
45,-118.08490390000001,34.63216370000001
46,-118.0857095,34.6321186
47,-118.08626890000001,34.632087899999995
48,-118.08712220000001,34.63203970000001
49,-118.0876991,34.63200629999999
50,-118.0885814,34.631956
51,-118.08919170000001,34.631921999999996
52,-118.0901095,34.6318701
53,-118.0907418,34.631832
54,-118.0916976,34.6317698
55,-118.0923368,34.6317261
56,-118.09330130000001,34.63166079999999
57,-118.0939601,34.631617799999994
58,-118.0949375,34.631557799999996
59,-118.09561049999999,34.631519299999994
60,-118.0965933,34.631466700000004
61,-118.0972673,34.631432000000004
62,-118.0982676,34.631381299999994
63,-118.09894950000002,34.6313468
64,-118.09996140000001,34.631295
65,-118.1006518,34.6312597
66,-118.1016775,34.63120670000001
67,-118.10237759999998,34.631169799999995
68,-118.10341799999999,34.6311135
69,-118.1041282,34.631074
70,-118.1051831,34.631012299999995
71,-118.1059027,34.6309683
72,-118.10697140000002,34.6309011
73,-118.1077004,34.6308547
74,-118.10878290000001,34.630785499999995
75,-118.10952179999998,34.6307382
76,-118.1106191,34.6306681
77,-118.1113679,34.63062
78,-118.11247920000001,34.630547899999996
79,-118.1132364,34.6304991
80,-118.11435949999999,34.6304282
81,-118.115125,34.6303828
82,-118.11626090000001,34.6303243
83,-118.11703429999999,34.630293200000004
84,-118.11817990000002,34.6302635
85,-118.11895859999998,34.63025510000001
