, FMS_LON, FMS_LAT
0,-105.11747,39.909534
1,-105.118149,39.909927
2,-105.11891200000001,39.91029
3,-105.119644,39.910656
4,-105.120438,39.911037
5,-105.121178,39.911446000000005
6,-105.12193300000001,39.911827
7,-105.122704,39.912231
8,-105.123451,39.912655
9,-105.124222,39.913016999999996
10,-105.12498500000001,39.913475
11,-105.125778,39.913841
12,-105.12654099999999,39.914238
13,-105.12728100000001,39.914642
14,-105.128075,39.915012
15,-105.12886,39.915421
16,-105.12968400000001,39.915797999999995
17,-105.13046999999999,39.916222
18,-105.131271,39.916588
19,-105.13209499999999,39.917023
20,-105.13288899999999,39.917442
21,-105.133743,39.917881
22,-105.13454399999999,39.918301
23,-105.135361,39.918739
24,-105.136246,39.919174
25,-105.13708500000001,39.919647
26,-105.13796200000002,39.920044
27,-105.13881699999999,39.920506
28,-105.13968700000001,39.920933000000005
29,-105.14054099999998,39.921364000000004
30,-105.141396,39.921787
31,-105.142296,39.922218
32,-105.143143,39.922646
33,-105.144058,39.923058000000005
34,-105.14493600000002,39.923462
35,-105.145859,39.923882
36,-105.146805,39.92432
37,-105.14771999999999,39.924735999999996
38,-105.14865900000001,39.925159
39,-105.14962,39.925575
40,-105.15059699999999,39.926018
41,-105.151573,39.926472
42,-105.15255,39.926888
43,-105.15356399999999,39.927338
44,-105.154556,39.92778
45,-105.15556299999999,39.928234
46,-105.15657,39.928677
47,-105.15763100000001,39.929153
48,-105.158676,39.929619
49,-105.159714,39.930073
50,-105.16078200000001,39.930546
51,-105.161804,39.931019
52,-105.162903,39.931511
53,-105.164001,39.931992
54,-105.165077,39.932487
55,-105.166183,39.932961
56,-105.167282,39.933468
57,-105.16838100000001,39.93396
58,-105.16953999999998,39.934467
59,-105.170654,39.934975
60,-105.171776,39.935505
61,-105.172913,39.935982
62,-105.174034,39.936481
63,-105.17520900000001,39.937053999999996
64,-105.176369,39.937560999999995
65,-105.17750500000001,39.938126000000004
66,-105.178696,39.938648
67,-105.17984799999999,39.939228
68,-105.18098400000001,39.939732
69,-105.182129,39.940308
70,-105.18326599999999,39.940909999999995
71,-105.18443300000001,39.941532
72,-105.18548600000001,39.942181
73,-105.186508,39.942879
74,-105.187477,39.943634
75,-105.18836999999999,39.944404999999996
76,-105.189194,39.945259
77,-105.190018,39.946117
78,-105.19079599999999,39.946976
79,-105.191452,39.947887
80,-105.192062,39.948814
81,-105.192627,39.949776
82,-105.19311499999999,39.950775
83,-105.19358100000001,39.951767
84,-105.19397,39.952778
85,-105.194374,39.953793
86,-105.19467900000001,39.954815
87,-105.194901,39.955864
88,-105.19506799999999,39.956932
89,-105.19523600000001,39.957981
90,-105.195297,39.959034
91,-105.195412,39.960091
92,-105.19545,39.961159
93,-105.19545,39.96225
94,-105.19545,39.963299
95,-105.19545,39.964386
96,-105.195396,39.96545
97,-105.195297,39.966534
98,-105.195297,39.967594
99,-105.19511399999999,39.96867
100,-105.194984,39.969738
101,-105.194763,39.970821
102,-105.194534,39.971874
103,-105.194336,39.972935
104,-105.194115,39.974007
105,-105.193848,39.975052000000005
106,-105.193626,39.976143
107,-105.193344,39.977207
108,-105.19315300000001,39.978294
109,-105.19283300000001,39.97937
110,-105.192604,39.980446
111,-105.19234499999999,39.981528999999995
112,-105.192116,39.982613
113,-105.191856,39.983715000000004
114,-105.191612,39.984790999999994
115,-105.191383,39.985863
116,-105.191116,39.986969
117,-105.19081100000001,39.988052
118,-105.190552,39.989159
119,-105.19032299999999,39.990238
120,-105.190041,39.991325
121,-105.18983500000002,39.992409
122,-105.18953700000002,39.993511
123,-105.18931599999999,39.994597999999996
124,-105.18904099999999,39.995712
125,-105.188797,39.996773
126,-105.188553,39.997856
127,-105.18829299999999,39.998985
128,-105.188065,40.000057
129,-105.187828,40.001166999999995
130,-105.18758400000002,40.002266
131,-105.18733200000001,40.003365
132,-105.187096,40.004463
133,-105.186874,40.005569
134,-105.18668400000001,40.00666
135,-105.186539,40.00779
136,-105.186378,40.008888
137,-105.18623400000001,40.010006
138,-105.18618000000001,40.011131
139,-105.186081,40.012257
140,-105.18602,40.013405
141,-105.18602,40.014542
142,-105.18602,40.015694
143,-105.18609599999999,40.016827
144,-105.18618000000001,40.017921
145,-105.18618000000001,40.01907
146,-105.186302,40.020226
147,-105.186378,40.021361999999996
148,-105.186501,40.022507
149,-105.1866,40.023655
150,-105.186729,40.024776
151,-105.18686699999999,40.025887
152,-105.18698899999998,40.02702
153,-105.187172,40.028168
154,-105.18733999999999,40.029289
155,-105.18758400000002,40.030407000000004
156,-105.18778200000001,40.031517
157,-105.18801100000002,40.032616
158,-105.18821000000001,40.033695
159,-105.188499,40.034797999999995
160,-105.188721,40.0359
161,-105.189026,40.036976
162,-105.18933100000001,40.038063
163,-105.18963600000001,40.039134999999995
164,-105.18996399999999,40.040203000000005
165,-105.19032299999999,40.041275
166,-105.19068899999999,40.042336
167,-105.191055,40.043407
168,-105.191422,40.044468
169,-105.191818,40.045486
170,-105.19218400000001,40.046516
171,-105.19258899999998,40.047554
172,-105.19303899999998,40.04858
173,-105.19344299999999,40.049652
174,-105.19389299999999,40.050678000000005
175,-105.194298,40.051704
176,-105.194748,40.052727000000004
177,-105.195206,40.053707
178,-105.19566299999998,40.054722
179,-105.19618200000001,40.055737
180,-105.196678,40.056736
181,-105.197243,40.057716
182,-105.197777,40.058678
183,-105.198326,40.059653999999995
184,-105.19883700000001,40.060654
185,-105.19938700000002,40.061619
186,-105.199913,40.062591999999995
187,-105.200424,40.063553000000006
188,-105.200974,40.064514
189,-105.2015,40.065459999999995
190,-105.202072,40.066402000000004
191,-105.202591,40.067375
192,-105.20313999999999,40.068317
193,-105.203751,40.069266999999996
194,-105.2043,40.070202
195,-105.20491799999999,40.071135999999996
196,-105.205505,40.072075
197,-105.206139,40.073006
198,-105.206703,40.073933000000004
199,-105.207352,40.074856
200,-105.20796200000001,40.075798
201,-105.208603,40.07666
202,-105.20921299999999,40.077602
203,-105.20986200000002,40.078545
204,-105.210472,40.079475
205,-105.21113600000001,40.080387
206,-105.21174599999999,40.081291
207,-105.21235700000001,40.082207000000004
208,-105.21302800000001,40.083115
209,-105.213646,40.084038
210,-105.214272,40.084953000000006
211,-105.21494299999999,40.085842
212,-105.215553,40.086784
213,-105.21616399999999,40.087646
214,-105.216797,40.088589
215,-105.21743000000001,40.089484999999996
216,-105.21803999999999,40.090393
217,-105.218651,40.091255
218,-105.219284,40.092159
219,-105.21988700000001,40.093059999999994
220,-105.220497,40.094002
221,-105.221115,40.094856
222,-105.221695,40.095795
223,-105.22231299999999,40.096687
224,-105.2229,40.097603
225,-105.22353400000001,40.098469
226,-105.224106,40.09938
227,-105.224709,40.100273
228,-105.225296,40.101208
229,-105.22589099999999,40.102077
230,-105.226456,40.10302
231,-105.227005,40.103893
232,-105.22761499999999,40.104824
233,-105.228172,40.105694
234,-105.228714,40.106621000000004
235,-105.229324,40.107571
236,-105.229881,40.108478999999996
237,-105.230453,40.109406
238,-105.23104099999999,40.110329
239,-105.231583,40.111275
240,-105.23211699999999,40.112194
241,-105.232681,40.113167
242,-105.233231,40.114082
243,-105.23378000000001,40.115051
244,-105.23429099999998,40.115992999999996
245,-105.234848,40.116932
246,-105.235374,40.117893
247,-105.235901,40.118858
248,-105.23643500000001,40.119801
249,-105.236977,40.120765999999996
250,-105.23748799999998,40.121746
251,-105.237999,40.122704
252,-105.238548,40.123688
253,-105.23908999999999,40.124683000000005
254,-105.23960100000001,40.125664
255,-105.24009699999999,40.12664
256,-105.240601,40.127635999999995
257,-105.241127,40.128624
258,-105.241638,40.129612
259,-105.242088,40.130596000000004
260,-105.242531,40.131611
261,-105.24285900000001,40.132626
262,-105.243179,40.133659
263,-105.24348400000001,40.134693
264,-105.243729,40.135719
265,-105.24393500000001,40.136757
266,-105.24403400000001,40.137814
267,-105.244118,40.138836
268,-105.24423999999999,40.1399
269,-105.244118,40.140919
270,-105.24403400000001,40.141949
271,-105.243958,40.142998
272,-105.243797,40.144028000000006
273,-105.243614,40.145058
274,-105.243431,40.146122
275,-105.243149,40.147144
276,-105.242897,40.148178
277,-105.242599,40.149212
278,-105.242287,40.150242
279,-105.241928,40.151276
280,-105.24155400000001,40.152283000000004
281,-105.24115,40.153301
282,-105.24076799999999,40.154331
283,-105.24039499999999,40.15535
284,-105.239967,40.15638
285,-105.23956299999999,40.157416999999995
286,-105.23908999999999,40.158443
287,-105.23868600000002,40.159496000000004
288,-105.238235,40.160542
289,-105.23777,40.161568
290,-105.23732,40.162601
291,-105.236855,40.163643
292,-105.23636599999999,40.164711
293,-105.23588600000001,40.16576
294,-105.235428,40.166809
295,-105.23492399999999,40.16787
296,-105.234421,40.168934
297,-105.233948,40.169994
298,-105.23345900000001,40.171096999999996
299,-105.232948,40.172176
300,-105.23249799999999,40.173248
301,-105.231972,40.174339
302,-105.23149099999999,40.175407
303,-105.230995,40.176517
304,-105.23053,40.177639
305,-105.230042,40.178722
306,-105.229576,40.179871
307,-105.22910300000001,40.180962
308,-105.22863799999999,40.182102
309,-105.228195,40.183234999999996
310,-105.227737,40.184387
311,-105.227295,40.185478
312,-105.226883,40.186611
313,-105.226425,40.187767
314,-105.226051,40.188896
315,-105.22566200000001,40.190048
316,-105.22525800000001,40.191196000000005
317,-105.224899,40.192371
318,-105.22453300000001,40.193531
319,-105.22418200000001,40.194679
320,-105.223801,40.195834999999995
321,-105.223473,40.197002000000005
322,-105.22316699999999,40.198184999999995
323,-105.222824,40.199364
324,-105.22249599999999,40.200523
325,-105.222183,40.201725
326,-105.221901,40.202873
327,-105.22163400000001,40.204075
328,-105.221313,40.205254
329,-105.221046,40.206406
330,-105.22076399999999,40.207588
331,-105.220482,40.208782
332,-105.220253,40.209965000000004
333,-105.219948,40.211121
334,-105.219749,40.212315000000004
335,-105.219444,40.21352
336,-105.2192,40.214664
337,-105.218956,40.215843
338,-105.218727,40.217022
339,-105.218521,40.218204
340,-105.21822399999999,40.219378999999996
341,-105.21801799999999,40.220554
342,-105.21781200000001,40.221752
343,-105.217575,40.222904
344,-105.21736100000001,40.224083
345,-105.21713999999999,40.225243
346,-105.21695700000001,40.226387
347,-105.21675900000001,40.227581
348,-105.21651499999999,40.228722
349,-105.21633100000001,40.229874
350,-105.216141,40.231026
351,-105.215965,40.232155
352,-105.215721,40.233340999999996
353,-105.215553,40.234512
354,-105.215332,40.235596
355,-105.21516399999999,40.236740000000005
356,-105.21494299999999,40.237888
357,-105.214767,40.238976
358,-105.21453899999999,40.240120000000005
359,-105.214371,40.241240999999995
360,-105.214134,40.242348
361,-105.213951,40.243415999999996
362,-105.21374499999999,40.244503
363,-105.21358500000001,40.245613
364,-105.213402,40.246704
365,-105.213173,40.24778
366,-105.21298999999999,40.248855999999996
367,-105.212746,40.249928000000004
368,-105.21257,40.250972999999995
369,-105.212364,40.252037
370,-105.212204,40.253067
371,-105.21196,40.254128
372,-105.211777,40.25515
373,-105.211548,40.256187
374,-105.21138,40.257217
375,-105.21114299999999,40.258251
376,-105.21096000000001,40.259266
377,-105.21069299999999,40.260277
378,-105.210526,40.261307
379,-105.21028899999999,40.262333
380,-105.21008300000001,40.263348
381,-105.20981599999999,40.264336
382,-105.20963300000001,40.26535
383,-105.209396,40.266388
384,-105.209152,40.267418
385,-105.208946,40.268414
386,-105.20873999999999,40.269428000000005
387,-105.20845800000001,40.270439
388,-105.20821399999998,40.271460999999995
389,-105.208023,40.272465000000004
390,-105.207748,40.273468
391,-105.20754199999999,40.274483000000004
392,-105.207275,40.275501
393,-105.207031,40.276497
394,-105.206787,40.277515
395,-105.206543,40.278526
396,-105.206337,40.279540999999995
397,-105.20603200000001,40.280571
398,-105.20583300000001,40.281578
399,-105.205528,40.282585
400,-105.205284,40.283596
401,-105.20504,40.284615
402,-105.204773,40.285633000000004
403,-105.20449099999999,40.286644
404,-105.204269,40.287659000000005
405,-105.203979,40.288672999999996
406,-105.203751,40.289696
407,-105.20346799999999,40.290699
408,-105.203201,40.291721
409,-105.20295700000001,40.292747
410,-105.202675,40.293746999999996
411,-105.202454,40.294781
412,-105.20217099999999,40.295773
413,-105.201881,40.296791
414,-105.201675,40.297806
415,-105.201378,40.298828
416,-105.20115700000001,40.299828000000005
417,-105.20088200000001,40.300835
418,-105.200607,40.301860999999995
419,-105.20039399999999,40.302879
420,-105.200119,40.303909000000004
421,-105.199852,40.304943
422,-105.19963100000001,40.305958000000004
423,-105.19936399999999,40.306969
424,-105.199142,40.307999
425,-105.198853,40.309025
426,-105.198647,40.310036
427,-105.19836399999998,40.311081
428,-105.19811999999999,40.312096000000004
429,-105.197891,40.313117999999996
430,-105.197617,40.314159000000004
431,-105.19741100000002,40.315208
432,-105.197128,40.316238
433,-105.196877,40.317265
434,-105.196678,40.318329
435,-105.19643400000001,40.319373999999996
436,-105.19621299999999,40.320427
437,-105.19596899999999,40.321476000000004
438,-105.195755,40.322525
439,-105.19551799999999,40.323589
440,-105.195297,40.324619
441,-105.195045,40.325657
442,-105.19486200000001,40.326706
443,-105.194603,40.32777
444,-105.194382,40.328838
445,-105.194176,40.329871999999995
446,-105.19399299999999,40.330894
447,-105.19374099999999,40.331932
448,-105.193527,40.333003999999995
449,-105.193321,40.334053000000004
450,-105.19313799999999,40.335106
451,-105.19288600000002,40.336151
452,-105.19270300000001,40.337181
453,-105.19248200000001,40.338229999999996
454,-105.19226100000002,40.339302
455,-105.19207800000001,40.340332000000004
456,-105.19191000000001,40.341366
457,-105.191673,40.34243
458,-105.19148999999999,40.343468
459,-105.191299,40.344509
460,-105.191116,40.345562
461,-105.190895,40.346592
462,-105.190712,40.347645
463,-105.190491,40.348679
464,-105.190331,40.349712
465,-105.19017,40.350777
466,-105.189926,40.35181
467,-105.189774,40.352866999999996
468,-105.18956000000001,40.353893
469,-105.189407,40.354927
470,-105.189209,40.355934000000005
471,-105.189026,40.356953000000004
472,-105.18881999999999,40.358002
473,-105.188675,40.359016
474,-105.188515,40.36005
475,-105.18831599999999,40.361076000000004
476,-105.188156,40.362091
477,-105.18796499999999,40.363102000000005
478,-105.187828,40.364124
479,-105.18766799999999,40.365158
480,-105.1875,40.366172999999996
481,-105.18733200000001,40.367184
482,-105.18718,40.368202000000004
483,-105.18701200000001,40.369217
484,-105.18686699999999,40.37022
485,-105.186729,40.371239
486,-105.186539,40.372246000000004
487,-105.18638600000001,40.373259999999995
488,-105.186203,40.37429
489,-105.186058,40.375285999999996
490,-105.185852,40.376324
491,-105.18573,40.377354
492,-105.18557,40.37838
493,-105.18536399999999,40.37941
494,-105.18521899999999,40.380435999999996
495,-105.18502,40.381462
496,-105.184853,40.382492
497,-105.184708,40.383540999999994
498,-105.184471,40.384594
499,-105.18434099999999,40.385643
500,-105.184105,40.386681
501,-105.183945,40.387733000000004
502,-105.18376200000002,40.388809
503,-105.18355600000001,40.389858000000004
504,-105.18337199999999,40.390910999999996
505,-105.18318899999998,40.39196
506,-105.183006,40.393028
507,-105.18276200000001,40.394085
508,-105.182571,40.395164
509,-105.18235,40.396209999999996
510,-105.18216699999999,40.397273999999996
511,-105.181931,40.398365000000005
512,-105.18171699999999,40.399440999999996
513,-105.181496,40.400513000000004
514,-105.18123600000001,40.401588000000004
515,-105.18101499999999,40.402664
516,-105.18078600000001,40.403755
517,-105.180603,40.404839
518,-105.18035900000001,40.405922
519,-105.18011499999999,40.406998
520,-105.179832,40.40807
521,-105.179588,40.409157
522,-105.179382,40.410275
523,-105.179123,40.411339
524,-105.178894,40.412437
525,-105.178627,40.413513
526,-105.17840600000001,40.414597
527,-105.178123,40.415699
528,-105.177879,40.416786
529,-105.17765,40.417862
530,-105.17736799999999,40.418953
531,-105.17714699999999,40.420035999999996
532,-105.17685700000001,40.421158
533,-105.17663600000002,40.422259999999994
534,-105.176346,40.42334
535,-105.176071,40.424431
536,-105.17584199999999,40.425529
537,-105.17556,40.426617
538,-105.17527,40.427734
539,-105.17506399999999,40.428833000000004
540,-105.17478200000001,40.429909
541,-105.174522,40.431022999999996
542,-105.174255,40.432109999999994
543,-105.173988,40.433228
544,-105.173767,40.434326
545,-105.173477,40.435402
546,-105.17321799999999,40.436516
547,-105.17295800000001,40.437584
548,-105.172707,40.438686
549,-105.17246200000001,40.439766
550,-105.172203,40.440845
