,GGLON,GGLAT
0,-96.1907,19.1285
1,-96.1907,19.1285
2,-96.1908,19.1285
3,-96.1908,19.1285
4,-96.1908,19.1285
5,-96.1909,19.1286
6,-96.1909,19.1286
7,-96.1909,19.1286
8,-96.1909,19.1287
9,-96.1909,19.1287
10,-96.1909,19.1287
11,-96.1909,19.1288
12,-96.1909,19.1288
13,-96.1909,19.1288
14,-96.1909,19.1288
15,-96.1909,19.1289
16,-96.1909,19.1289
17,-96.1909,19.1289
18,-96.1909,19.1289
19,-96.1909,19.1289
20,-96.1908,19.1289
21,-96.1908,19.1289
22,-96.1908,19.1289
23,-96.1908,19.1289
24,-96.1908,19.1289
25,-96.1908,19.1289
26,-96.1908,19.1289
27,-96.1908,19.1289
28,-96.1908,19.1289
29,-96.1908,19.1289
30,-96.1908,19.1289
31,-96.1908,19.1289
32,-96.1908,19.1289
33,-96.1908,19.1289
34,-96.1908,19.1289
35,-96.1908,19.1289
36,-96.1909,19.1289
37,-96.1909,19.1289
38,-96.1909,19.1289
39,-96.1909,19.1289
40,-96.1909,19.1289
41,-96.1909,19.1289
42,-96.1908,19.1289
43,-96.1908,19.1289
44,-96.1908,19.1289
45,-96.1908,19.1289
46,-96.1908,19.1289
47,-96.1908,19.1289
48,-96.1908,19.1289
49,-96.1908,19.1289
50,-96.1908,19.1289
51,-96.1908,19.1289
52,-96.1908,19.1289
53,-96.1908,19.1289
54,-96.1908,19.1289
55,-96.1908,19.1289
56,-96.1908,19.1289
57,-96.1908,19.1289
58,-96.1908,19.1289
59,-96.1908,19.1289
60,-96.1908,19.1289
61,-96.1908,19.1289
62,-96.1908,19.1289
63,-96.1908,19.1289
64,-96.1908,19.1289
65,-96.1908,19.1289
66,-96.1908,19.1289
67,-96.1908,19.1289
68,-96.1908,19.1289
69,-96.1908,19.1289
70,-96.1908,19.1289
71,-96.1908,19.1289
72,-96.1908,19.1289
73,-96.1908,19.1289
74,-96.1908,19.1289
75,-96.1908,19.1289
76,-96.1908,19.1289
77,-96.1908,19.1289
78,-96.1908,19.1289
79,-96.1908,19.1289
80,-96.1908,19.1289
81,-96.1908,19.1289
82,-96.1908,19.1289
83,-96.1908,19.1289
84,-96.1908,19.1289
85,-96.1908,19.1289
86,-96.1908,19.1289
87,-96.1908,19.1289
88,-96.1908,19.1289
89,-96.1908,19.1289
90,-96.1908,19.1289
91,-96.1908,19.1289
92,-96.1908,19.1289
93,-96.1908,19.129
94,-96.1908,19.129
95,-96.1908,19.129
96,-96.1908,19.1291
97,-96.1908,19.1292
98,-96.1908,19.1292
99,-96.1908,19.1294
100,-96.1907,19.1295
101,-96.1907,19.1296
102,-96.1907,19.1298
103,-96.1906,19.13
104,-96.1906,19.1302
105,-96.1906,19.1304
106,-96.1905,19.1307
107,-96.1904,19.1309
108,-96.1904,19.1312
109,-96.1903,19.1315
