, FMS_LON, FMS_LAT
0,-95.164276,29.608837
1,-95.164146,29.608265000000003
2,-95.16407,29.607702000000003
3,-95.16407,29.607121999999997
4,-95.16407,29.606517999999998
5,-95.16407,29.605906
6,-95.16407,29.605286
7,-95.16407,29.604664
8,-95.163986,29.604034000000002
9,-95.163933,29.603399
10,-95.163933,29.602778999999998
11,-95.163933,29.602131
12,-95.163933,29.601516999999998
13,-95.163933,29.600849
14,-95.163933,29.600208000000002
15,-95.163933,29.599558000000002
16,-95.16375,29.598902000000002
17,-95.16372700000001,29.598232
18,-95.16372700000001,29.597561
19,-95.16372700000001,29.596899
20,-95.16372700000001,29.596203000000003
21,-95.16372700000001,29.595523999999997
22,-95.16372700000001,29.594833
23,-95.16372700000001,29.594152
24,-95.16372700000001,29.593456
25,-95.163696,29.592758
26,-95.163574,29.59202
27,-95.163574,29.591334999999997
28,-95.163574,29.590612
29,-95.163574,29.589859000000004
30,-95.163574,29.589151
31,-95.163574,29.588415
32,-95.163528,29.58765
33,-95.163422,29.586918
34,-95.163422,29.586157
35,-95.163422,29.5854
36,-95.16327700000001,29.584637
37,-95.163216,29.583873999999998
38,-95.16313199999999,29.583096
39,-95.162987,29.582331
40,-95.16282700000001,29.581558
41,-95.162628,29.580779999999997
42,-95.162338,29.580006
43,-95.16201,29.579234999999997
44,-95.161636,29.578457
45,-95.161263,29.577694
46,-95.16082800000001,29.576928999999996
47,-95.160324,29.576208
48,-95.159851,29.575470000000003
49,-95.159233,29.574759000000004
50,-95.15862299999999,29.574070000000003
51,-95.15799,29.573373999999998
52,-95.15731,29.572718
53,-95.156578,29.572073
54,-95.155807,29.571453
55,-95.155029,29.570846999999997
56,-95.154175,29.570282000000002
57,-95.153336,29.569696
58,-95.152466,29.569164
59,-95.151543,29.568645
60,-95.150604,29.568203000000004
61,-95.149612,29.567774
62,-95.148613,29.567377
63,-95.147598,29.566971000000002
64,-95.146591,29.56662
65,-95.145569,29.566336
66,-95.14447,29.566046000000004
67,-95.14337900000001,29.565771
68,-95.14228100000001,29.565540000000002
69,-95.14119000000001,29.565319
70,-95.14005999999999,29.565109000000003
71,-95.138924,29.56493
72,-95.137833,29.564783000000002
73,-95.13664200000001,29.564667
74,-95.135483,29.564541
75,-95.134331,29.564386
76,-95.13319399999999,29.56427
77,-95.13203399999999,29.564199
78,-95.130898,29.564032
79,-95.1297,29.564032
80,-95.12849399999999,29.563990000000004
81,-95.127342,29.563885
82,-95.126175,29.563868
83,-95.124969,29.563973999999998
84,-95.123802,29.564032
85,-95.122597,29.564032
86,-95.121391,29.564040999999996
87,-95.12017800000001,29.564209
88,-95.11898000000001,29.564209
89,-95.117798,29.564290999999997
90,-95.116615,29.564386
91,-95.115379,29.564474
92,-95.114189,29.56455
93,-95.112961,29.564697
94,-95.11174,29.564764
95,-95.110535,29.564885999999998
96,-95.109299,29.565022999999997
97,-95.108109,29.565182
98,-95.106888,29.565286999999998
99,-95.105675,29.565409000000002
100,-95.104439,29.565571000000002
101,-95.103218,29.565714
102,-95.10199,29.56583
103,-95.10075400000001,29.565964
104,-95.099525,29.566107000000002
105,-95.098297,29.566278000000004
106,-95.09706899999999,29.566415999999997
107,-95.095848,29.566553000000003
108,-95.094597,29.566686999999998
109,-95.093369,29.566824
110,-95.09214,29.566982
111,-95.09088100000001,29.567141999999997
112,-95.08966099999999,29.567296999999996
113,-95.088448,29.567444000000002
114,-95.087204,29.567575
115,-95.085976,29.567734
116,-95.084709,29.567875
117,-95.08345,29.568033000000003
118,-95.08223000000001,29.568165000000004
119,-95.080978,29.568329
120,-95.079735,29.568493
121,-95.078529,29.568686
122,-95.07725500000001,29.568872
123,-95.076004,29.569052000000003
124,-95.074776,29.569225
125,-95.073524,29.569433
126,-95.07223499999999,29.569626
127,-95.070992,29.569817999999998
128,-95.069717,29.570026000000002
129,-95.068474,29.570241999999997
130,-95.067215,29.570444000000002
131,-95.06596400000001,29.570658
132,-95.064713,29.570843
133,-95.063438,29.571053999999997
134,-95.062187,29.571278000000003
135,-95.06094399999999,29.571476
136,-95.05965400000001,29.571692
137,-95.058418,29.571894
138,-95.057129,29.572124
139,-95.055832,29.572336
140,-95.054573,29.57255
141,-95.053299,29.572747999999997
142,-95.05204,29.572964000000002
143,-95.05076600000001,29.573154
144,-95.04948399999999,29.573368
145,-95.048233,29.573572
146,-95.046959,29.57375
147,-95.0457,29.573935
148,-95.04441800000001,29.574118
149,-95.043091,29.574314
150,-95.041847,29.57449
151,-95.040565,29.574672999999997
152,-95.039261,29.574854
153,-95.037994,29.575027000000002
154,-95.036728,29.575205
155,-95.035416,29.575398999999997
156,-95.034126,29.575556
157,-95.032883,29.575734999999998
158,-95.031578,29.575917999999998
159,-95.030289,29.576115
160,-95.029015,29.576288
161,-95.027725,29.576452000000003
162,-95.026443,29.576629999999998
163,-95.025162,29.576801
164,-95.023872,29.57695
165,-95.022644,29.577129
166,-95.021339,29.577291
167,-95.020065,29.577447999999997
168,-95.018753,29.577609999999996
169,-95.01745600000001,29.577773999999998
170,-95.01619000000001,29.577941999999997
171,-95.014893,29.57811
172,-95.01361800000001,29.578259000000003
173,-95.012314,29.578429999999997
174,-95.011009,29.578577000000003
175,-95.00975,29.57872
176,-95.00844599999999,29.578878000000003
177,-95.007187,29.57902
178,-95.005844,29.579151
179,-95.00456199999999,29.579315
180,-95.003258,29.579462
181,-95.001938,29.579594
182,-95.000656,29.579733
183,-94.999344,29.579876000000002
184,-94.998039,29.580021000000002
185,-94.996742,29.580175
186,-94.995407,29.580303000000004
