,GGLON,GGLAT
0,-96.1899,19.1334
1,-96.19,19.1332
2,-96.19,19.1331
3,-96.19,19.133
4,-96.19,19.1328
5,-96.1901,19.1327
6,-96.1901,19.1326
7,-96.1901,19.1325
8,-96.1901,19.1323
9,-96.1902,19.1322
10,-96.1902,19.1321
11,-96.1902,19.132
12,-96.1902,19.1319
13,-96.1903,19.1317
14,-96.1903,19.1316
15,-96.1903,19.1315
16,-96.1903,19.1314
17,-96.1904,19.1313
18,-96.1904,19.1312
19,-96.1904,19.1311
20,-96.1904,19.1311
21,-96.1904,19.131
22,-96.1905,19.1309
23,-96.1905,19.1308
24,-96.1905,19.1307
25,-96.1905,19.1306
26,-96.1905,19.1305
27,-96.1906,19.1304
28,-96.1906,19.1303
29,-96.1906,19.1302
30,-96.1906,19.1302
31,-96.1906,19.1301
32,-96.1907,19.13
33,-96.1907,19.1299
34,-96.1907,19.1298
35,-96.1907,19.1298
36,-96.1907,19.1297
37,-96.1907,19.1296
38,-96.1907,19.1295
39,-96.1907,19.1295
40,-96.1907,19.1294
41,-96.1907,19.1294
42,-96.1907,19.1293
43,-96.1906,19.1292
44,-96.1906,19.1292
45,-96.1906,19.1291
46,-96.1906,19.1291
47,-96.1905,19.129
48,-96.1905,19.129
49,-96.1905,19.129
50,-96.1905,19.1289
51,-96.1905,19.1289
52,-96.1905,19.1288
53,-96.1905,19.1288
54,-96.1905,19.1288
55,-96.1905,19.1287
56,-96.1905,19.1287
57,-96.1905,19.1287
58,-96.1905,19.1286
59,-96.1905,19.1286
60,-96.1906,19.1286
61,-96.1906,19.1286
62,-96.1906,19.1285
63,-96.1907,19.1285
64,-96.1907,19.1285
65,-96.1907,19.1285
66,-96.1908,19.1285
67,-96.1908,19.1285
68,-96.1908,19.1285
69,-96.1908,19.1285
70,-96.1909,19.1285
71,-96.1909,19.1286
72,-96.1909,19.1286
73,-96.1909,19.1286
74,-96.1909,19.1286
75,-96.1909,19.1287
76,-96.1909,19.1287
77,-96.1909,19.1287
78,-96.1909,19.1287
79,-96.1909,19.1287
80,-96.1909,19.1287
81,-96.1909,19.1287
82,-96.1909,19.1287
83,-96.1909,19.1287
84,-96.1909,19.1287
85,-96.1909,19.1287
86,-96.1909,19.1287
87,-96.1909,19.1287
88,-96.1909,19.1287
89,-96.1909,19.1287
90,-96.1909,19.1287
91,-96.1909,19.1287
92,-96.1909,19.1287
93,-96.1909,19.1287
94,-96.1909,19.1287
95,-96.1909,19.1287
96,-96.1909,19.1287
97,-96.1909,19.1287
98,-96.1909,19.1287
99,-96.1909,19.1287
100,-96.1909,19.1287
101,-96.1909,19.1287
102,-96.1909,19.1287
103,-96.1909,19.1287
104,-96.1909,19.1287
105,-96.1909,19.1287
106,-96.1909,19.1287
107,-96.1909,19.1287
108,-96.1909,19.1288
109,-96.1909,19.1288
110,-96.1909,19.1289
111,-96.1908,19.129
112,-96.1908,19.1291
113,-96.1908,19.1292
114,-96.1908,19.1294
115,-96.1907,19.1295
116,-96.1907,19.1297
117,-96.1907,19.1299
118,-96.1906,19.1301
119,-96.1906,19.1303
120,-96.1905,19.1306
121,-96.1905,19.1308
122,-96.1904,19.1311
123,-96.1904,19.1314
124,-96.1903,19.1317
125,-96.1902,19.132
126,-96.1902,19.1323
127,-96.1901,19.1327
128,-96.19,19.1331
129,-96.1899,19.1334
130,-96.1898,19.1338
131,-96.1898,19.1342
132,-96.1897,19.1346
133,-96.1896,19.1351
134,-96.1895,19.1355
135,-96.1894,19.136
136,-96.1893,19.1364
137,-96.1892,19.1369
138,-96.1891,19.1374
139,-96.189,19.1379
140,-96.1889,19.1384
141,-96.1888,19.139
142,-96.1887,19.1395
143,-96.1886,19.1401
144,-96.1884,19.1406
145,-96.1883,19.1412
146,-96.1882,19.1418
147,-96.1881,19.1424
148,-96.188,19.143
149,-96.1878,19.1436
150,-96.1877,19.1442
151,-96.1876,19.1448
152,-96.1875,19.1454
153,-96.1874,19.1461
154,-96.1872,19.1467
155,-96.1871,19.1473
156,-96.187,19.1479
157,-96.1869,19.1485
158,-96.1867,19.1492
159,-96.1866,19.1498
160,-96.1865,19.1504
161,-96.1864,19.151
162,-96.1863,19.1516
163,-96.1862,19.1523
164,-96.1861,19.1529
165,-96.186,19.1535
166,-96.1859,19.1541
167,-96.1857,19.1547
168,-96.1856,19.1554
169,-96.1855,19.156
170,-96.1854,19.1566
171,-96.1853,19.1573
172,-96.1852,19.1579
173,-96.1851,19.1585
174,-96.185,19.1592
175,-96.1849,19.1598
176,-96.1848,19.1605
177,-96.1847,19.1611
178,-96.1846,19.1618
179,-96.1845,19.1624
180,-96.1844,19.1631
181,-96.1843,19.1637
182,-96.1842,19.1644
183,-96.1842,19.1651
184,-96.1841,19.1657
185,-96.184,19.1664
186,-96.1839,19.1671
187,-96.1838,19.1677
188,-96.1837,19.1684
189,-96.1836,19.1691
190,-96.1835,19.1698
191,-96.1834,19.1705
192,-96.1833,19.1712
193,-96.1832,19.1719
194,-96.1831,19.1726
195,-96.183,19.1733
196,-96.1828,19.1741
197,-96.1827,19.1748
198,-96.1826,19.1755
199,-96.1825,19.1763
200,-96.1824,19.177
201,-96.1822,19.1778
202,-96.1821,19.1785
203,-96.182,19.1793
204,-96.1818,19.18
205,-96.1817,19.1808
206,-96.1815,19.1815
207,-96.1813,19.1823
208,-96.1811,19.1831
209,-96.1809,19.1838
210,-96.1807,19.1846
211,-96.1805,19.1853
212,-96.1802,19.1861
213,-96.18,19.1868
214,-96.1797,19.1876
215,-96.1794,19.1883
216,-96.1791,19.1891
217,-96.1788,19.1898
218,-96.1784,19.1905
219,-96.1781,19.1913
220,-96.1777,19.192
221,-96.1773,19.1927
222,-96.1769,19.1934
223,-96.1765,19.1941
224,-96.1761,19.1948
225,-96.1757,19.1955
226,-96.1752,19.1962
227,-96.1747,19.1969
228,-96.1742,19.1975
229,-96.1738,19.1982
230,-96.1732,19.1989
231,-96.1727,19.1995
232,-96.1722,19.2002
233,-96.1717,19.2008
234,-96.1711,19.2014
235,-96.1705,19.2021
236,-96.17,19.2027
237,-96.1694,19.2033
238,-96.1688,19.2039
239,-96.1682,19.2046
240,-96.1676,19.2052
241,-96.167,19.2058
242,-96.1664,19.2064
243,-96.1658,19.207
244,-96.1651,19.2075
245,-96.1645,19.2081
246,-96.1638,19.2087
247,-96.1631,19.2092
248,-96.1624,19.2098
249,-96.1617,19.2103
250,-96.161,19.2108
251,-96.1602,19.2114
252,-96.1595,19.2119
253,-96.1587,19.2124
254,-96.158,19.2129
255,-96.1572,19.2134
256,-96.1564,19.2139
257,-96.1556,19.2144
258,-96.1548,19.2148
259,-96.154,19.2153
260,-96.1532,19.2157
261,-96.1524,19.2162
262,-96.1516,19.2166
263,-96.1507,19.2171
264,-96.1499,19.2175
265,-96.149,19.2179
266,-96.1482,19.2184
267,-96.1473,19.2188
268,-96.1464,19.2191
269,-96.1455,19.2195
270,-96.1446,19.2198
271,-96.1437,19.2202
272,-96.1428,19.2205
273,-96.1419,19.2208
274,-96.1409,19.2211
275,-96.14,19.2214
276,-96.139,19.2217
277,-96.1381,19.222
278,-96.1371,19.2223
279,-96.1362,19.2226
280,-96.1352,19.2229
281,-96.1343,19.2232
282,-96.1333,19.2235
283,-96.1323,19.2237
284,-96.1314,19.224
285,-96.1304,19.2243
286,-96.1294,19.2246
287,-96.1285,19.2249
288,-96.1275,19.2252
289,-96.1266,19.2255
290,-96.1256,19.2259
291,-96.1247,19.2262
292,-96.1237,19.2265
293,-96.1228,19.2269
294,-96.1219,19.2272
295,-96.121,19.2276
296,-96.12,19.2279
297,-96.1191,19.2283
298,-96.1182,19.2287
299,-96.1173,19.229
300,-96.1164,19.2294
301,-96.1155,19.2298
302,-96.1146,19.2302
303,-96.1137,19.2306
304,-96.1128,19.231
305,-96.1119,19.2314
306,-96.111,19.2318
307,-96.1101,19.2322
308,-96.1092,19.2326
309,-96.1083,19.233
310,-96.1074,19.2333
311,-96.1065,19.2337
312,-96.1056,19.2341
313,-96.1047,19.2344
314,-96.1038,19.2348
315,-96.1029,19.2351
316,-96.102,19.2355
317,-96.1011,19.2358
318,-96.1002,19.2362
319,-96.0993,19.2365
320,-96.0984,19.2368
321,-96.0974,19.2371
322,-96.0965,19.2374
323,-96.0956,19.2377
324,-96.0947,19.238
325,-96.0938,19.2383
326,-96.0929,19.2386
327,-96.0921,19.239
328,-96.0912,19.2393
329,-96.0903,19.2396
330,-96.0894,19.2399
331,-96.0885,19.2402
332,-96.0876,19.2405
333,-96.0868,19.2408
334,-96.0859,19.2411
335,-96.085,19.2414
336,-96.0841,19.2417
337,-96.0832,19.2419
338,-96.0823,19.2422
339,-96.0814,19.2425
340,-96.0805,19.2427
341,-96.0796,19.243
342,-96.0788,19.2433
343,-96.0779,19.2435
344,-96.077,19.2438
345,-96.0761,19.2441
346,-96.0752,19.2444
347,-96.0743,19.2447
348,-96.0735,19.245
349,-96.0726,19.2452
350,-96.0717,19.2455
351,-96.0708,19.2458
352,-96.0699,19.246
353,-96.069,19.2463
354,-96.0682,19.2466
355,-96.0673,19.2468
356,-96.0664,19.2471
357,-96.0655,19.2473
358,-96.0646,19.2476
359,-96.0637,19.2478
360,-96.0072,19.2633
361,-99999.0,-99999.0
362,-99999.0,-99999.0
363,-99999.0,-99999.0
364,-99999.0,-99999.0
365,-99999.0,-99999.0
366,-99999.0,-99999.0
367,-99999.0,-99999.0
368,-99999.0,-99999.0
369,-99999.0,-99999.0
370,-99999.0,-99999.0
371,-99999.0,-99999.0
372,-99999.0,-99999.0
373,-99999.0,-99999.0
374,-99999.0,-99999.0
375,-99999.0,-99999.0
376,-99999.0,-99999.0
377,-99999.0,-99999.0
378,-99999.0,-99999.0
379,-99999.0,-99999.0
380,-99999.0,-99999.0
381,-99999.0,-99999.0
382,-99999.0,-99999.0
383,-99999.0,-99999.0
384,-99999.0,-99999.0
385,-99999.0,-99999.0
386,-99999.0,-99999.0
387,-99999.0,-99999.0
388,-99999.0,-99999.0
389,-99999.0,-99999.0
390,-99999.0,-99999.0
391,-99999.0,-99999.0
392,-99999.0,-99999.0
393,-99999.0,-99999.0
394,-99999.0,-99999.0
395,-99999.0,-99999.0
396,-99999.0,-99999.0
397,-99999.0,-99999.0
398,-99999.0,-99999.0
399,-99999.0,-99999.0
400,-99999.0,-99999.0
401,-99999.0,-99999.0
402,-99999.0,-99999.0
403,-99999.0,-99999.0
404,-99999.0,-99999.0
405,-99999.0,-99999.0
406,-99999.0,-99999.0
407,-99999.0,-99999.0
408,-99999.0,-99999.0
409,-99999.0,-99999.0
410,-99999.0,-99999.0
411,-99999.0,-99999.0
412,-99999.0,-99999.0
413,-99999.0,-99999.0
414,-99999.0,-99999.0
415,-99999.0,-99999.0
416,-99999.0,-99999.0
417,-99999.0,-99999.0
418,-99999.0,-99999.0
419,-99999.0,-99999.0
420,-99999.0,-99999.0
421,-99999.0,-99999.0
422,-99999.0,-99999.0
423,-99999.0,-99999.0
424,-99999.0,-99999.0
425,-99999.0,-99999.0
426,-99999.0,-99999.0
427,-99999.0,-99999.0
428,-99999.0,-99999.0
429,-99999.0,-99999.0
430,-99999.0,-99999.0
431,-99999.0,-99999.0
432,-99999.0,-99999.0
433,-99999.0,-99999.0
434,-99999.0,-99999.0
435,-99999.0,-99999.0
436,-99999.0,-99999.0
437,-99999.0,-99999.0
438,-99999.0,-99999.0
439,-99999.0,-99999.0
440,-99999.0,-99999.0
441,-99999.0,-99999.0
442,-99999.0,-99999.0
443,-99999.0,-99999.0
444,-99999.0,-99999.0
445,-99999.0,-99999.0
446,-99999.0,-99999.0
447,-99999.0,-99999.0
448,-99999.0,-99999.0
449,-99999.0,-99999.0
450,-99999.0,-99999.0
451,-99999.0,-99999.0
452,-99999.0,-99999.0
453,-99999.0,-99999.0
454,-99999.0,-99999.0
455,-99999.0,-99999.0
456,-99999.0,-99999.0
457,-99999.0,-99999.0
458,-99999.0,-99999.0
459,-99999.0,-99999.0
460,-99999.0,-99999.0
461,-99999.0,-99999.0
462,-99999.0,-99999.0
463,-99999.0,-99999.0
464,-99999.0,-99999.0
465,-99999.0,-99999.0
466,-99999.0,-99999.0
467,-99999.0,-99999.0
468,-99999.0,-99999.0
469,-99999.0,-99999.0
470,-99999.0,-99999.0
471,-99999.0,-99999.0
472,-99999.0,-99999.0
473,-99999.0,-99999.0
474,-99999.0,-99999.0
475,-99999.0,-99999.0
476,-99999.0,-99999.0
477,-99999.0,-99999.0
478,-99999.0,-99999.0
479,-99999.0,-99999.0
480,-99999.0,-99999.0
481,-99999.0,-99999.0
482,-99999.0,-99999.0
483,-99999.0,-99999.0
484,-99999.0,-99999.0
485,-99999.0,-99999.0
486,-99999.0,-99999.0
487,-99999.0,-99999.0
488,-99999.0,-99999.0
489,-99999.0,-99999.0
490,-99999.0,-99999.0
491,-99999.0,-99999.0
492,-99999.0,-99999.0
493,-99999.0,-99999.0
494,-99999.0,-99999.0
495,-99999.0,-99999.0
496,-99999.0,-99999.0
497,-99999.0,-99999.0
498,-99999.0,-99999.0
499,-99999.0,-99999.0
500,-95.895,19.2939
501,-95.838,19.3093
502,-95.8365,19.3095
503,-99999.0,-99999.0
504,-99999.0,-99999.0
505,-99999.0,-99999.0
506,-99999.0,-99999.0
507,-99999.0,-99999.0
508,-99999.0,-99999.0
509,-99999.0,-99999.0
510,-99999.0,-99999.0
511,-99999.0,-99999.0
512,-99999.0,-99999.0
513,-99999.0,-99999.0
514,-99999.0,-99999.0
515,-99999.0,-99999.0
