,GGLON,GGLAT
0,-96.1875,19.1439
1,-96.1876,19.1439
2,-96.1876,19.1439
3,-96.1876,19.144
4,-96.1877,19.144
5,-96.1877,19.1441
6,-96.1877,19.1441
7,-96.1877,19.1442
8,-96.1877,19.1442
9,-96.1877,19.1443
10,-96.1877,19.1443
11,-96.1876,19.1444
12,-96.1876,19.1445
13,-96.1876,19.1445
14,-96.1876,19.1446
15,-96.1876,19.1447
16,-96.1876,19.1447
17,-96.1876,19.1448
18,-96.1875,19.1449
19,-96.1875,19.145
20,-96.1875,19.1451
21,-96.1875,19.1451
22,-96.1875,19.1452
23,-96.1875,19.1453
24,-96.1874,19.1454
25,-96.1874,19.1455
26,-96.1874,19.1456
27,-96.1874,19.1457
28,-96.1874,19.1458
29,-96.1873,19.1459
30,-96.1873,19.146
31,-96.1873,19.1461
32,-96.1873,19.1462
33,-96.1873,19.1463
34,-96.1872,19.1464
35,-96.1872,19.1465
36,-96.1872,19.1466
37,-96.1872,19.1467
38,-96.1872,19.1468
39,-96.1871,19.1469
40,-96.1871,19.147
41,-96.1871,19.1471
42,-96.1871,19.1472
43,-96.187,19.1473
44,-96.187,19.1474
45,-96.187,19.1475
46,-96.187,19.1476
47,-96.187,19.1477
48,-96.187,19.1477
49,-96.1869,19.1478
50,-96.1869,19.1479
51,-96.1869,19.148
52,-96.1869,19.1481
53,-96.1869,19.1481
54,-96.1869,19.1482
55,-96.1868,19.1482
56,-96.1868,19.1483
57,-96.1868,19.1484
58,-96.1868,19.1484
59,-96.1868,19.1485
60,-96.1867,19.1485
61,-96.1867,19.1486
62,-96.1867,19.1486
63,-96.1867,19.1487
64,-96.1867,19.1487
65,-96.1866,19.1488
66,-96.1866,19.1488
67,-96.1866,19.1488
68,-96.1866,19.1489
69,-96.1866,19.1489
70,-96.1865,19.149
71,-96.1865,19.149
72,-96.1865,19.149
73,-96.1865,19.1491
74,-96.1865,19.1491
75,-96.1865,19.1491
76,-96.1865,19.1492
77,-96.1865,19.1492
78,-96.1865,19.1492
79,-96.1865,19.1492
80,-96.1865,19.1493
81,-96.1865,19.1493
82,-96.1865,19.1493
83,-96.1865,19.1493
84,-96.1865,19.1493
85,-96.1865,19.1494
86,-96.1865,19.1494
87,-96.1865,19.1494
88,-96.1865,19.1494
89,-96.1865,19.1494
90,-96.1865,19.1494
91,-96.1865,19.1494
92,-96.1865,19.1494
93,-96.1865,19.1494
94,-96.1865,19.1495
95,-96.1866,19.1495
96,-96.1866,19.1495
97,-96.1866,19.1494
98,-96.1866,19.1494
99,-96.1866,19.1494
100,-96.1866,19.1494
101,-96.1866,19.1494
102,-96.1866,19.1494
103,-96.1867,19.1494
104,-96.1867,19.1494
105,-96.1867,19.1494
106,-96.1867,19.1493
107,-96.1867,19.1493
108,-96.1867,19.1493
109,-96.1866,19.1493
110,-96.1866,19.1493
111,-96.1867,19.1492
112,-96.1867,19.1492
113,-96.1867,19.1492
114,-96.1867,19.1492
115,-96.1867,19.1492
116,-96.1867,19.1492
117,-96.1867,19.1492
118,-96.1867,19.1492
119,-96.1867,19.1492
120,-96.1867,19.1492
121,-96.1867,19.1492
122,-96.1867,19.1492
123,-96.1867,19.1492
124,-96.1867,19.1492
125,-96.1867,19.1492
126,-96.1867,19.1492
127,-96.1867,19.1492
128,-96.1867,19.1492
129,-96.1867,19.1492
130,-96.1867,19.1492
131,-96.1867,19.1492
132,-96.1867,19.1492
133,-96.1867,19.1492
134,-96.1867,19.1492
135,-96.1867,19.1492
136,-96.1867,19.1492
137,-96.1867,19.1492
138,-96.1867,19.1492
139,-96.1867,19.1492
140,-96.1867,19.1492
141,-96.1867,19.1492
142,-96.1867,19.1492
143,-96.1867,19.1492
144,-96.1867,19.1492
145,-96.1867,19.1492
146,-96.1867,19.1492
147,-96.1867,19.1492
148,-96.1867,19.1492
149,-96.1867,19.1492
150,-96.1867,19.1492
151,-96.1867,19.1492
152,-96.1867,19.1492
153,-96.1867,19.1492
154,-96.1867,19.1492
155,-96.1867,19.1492
156,-96.1867,19.1492
157,-96.1867,19.1492
158,-96.1867,19.1492
159,-96.1867,19.1492
160,-96.1867,19.1492
161,-96.1867,19.1492
162,-96.1867,19.1492
163,-96.1867,19.1492
164,-96.1867,19.1492
165,-96.1867,19.1492
166,-96.1867,19.1492
167,-96.1867,19.1492
168,-96.1867,19.1492
169,-96.1867,19.1492
170,-96.1867,19.1492
171,-96.1867,19.1491
172,-96.1867,19.1491
173,-96.1867,19.149
174,-96.1867,19.1489
175,-96.1867,19.1488
176,-96.1868,19.1486
177,-96.1868,19.1485
178,-96.1868,19.1483
179,-96.1869,19.1481
180,-96.1869,19.1479
181,-96.187,19.1477
182,-96.187,19.1475
183,-96.1871,19.1472
184,-96.1871,19.147
185,-96.1872,19.1467
186,-96.1872,19.1464
187,-96.1873,19.1461
188,-96.1874,19.1458
189,-96.1874,19.1454
190,-96.1875,19.1451
191,-96.1876,19.1447
192,-96.1877,19.1443
193,-96.1877,19.1439
194,-96.1878,19.1435
195,-96.1879,19.1431
196,-96.188,19.1426
197,-96.1881,19.1422
198,-96.1882,19.1417
199,-96.1883,19.1412
200,-96.1884,19.1407
201,-96.1885,19.1402
202,-96.1886,19.1397
203,-96.1887,19.1392
204,-96.1888,19.1387
205,-96.1889,19.1381
206,-96.1891,19.1375
207,-96.1892,19.137
208,-96.1893,19.1364
209,-96.1894,19.1358
210,-96.1895,19.1352
211,-96.1897,19.1346
212,-96.1898,19.134
213,-96.1899,19.1334
214,-96.19,19.1328
215,-96.1902,19.1321
216,-96.1903,19.1315
217,-96.1904,19.1309
218,-96.1906,19.1303
219,-96.1907,19.1297
220,-96.1908,19.1291
221,-96.1909,19.1284
222,-96.1911,19.1278
223,-96.1912,19.1272
224,-96.1913,19.1266
225,-96.1915,19.1259
226,-96.1916,19.1253
227,-96.1917,19.1247
228,-96.1919,19.1241
229,-96.192,19.1234
230,-96.1921,19.1228
231,-96.1923,19.1221
232,-96.1924,19.1215
233,-96.1925,19.1209
234,-96.1927,19.1202
235,-96.1928,19.1196
236,-96.1929,19.1189
237,-96.1931,19.1183
238,-96.1932,19.1176
239,-96.1933,19.1169
240,-96.1935,19.1163
241,-96.1936,19.1156
242,-96.1937,19.1149
243,-96.1939,19.1143
244,-96.194,19.1136
245,-96.1941,19.1129
246,-96.1943,19.1122
247,-96.1944,19.1115
248,-96.1945,19.1108
249,-96.1947,19.1101
250,-96.1948,19.1094
251,-96.195,19.1087
252,-96.1951,19.1079
253,-96.1953,19.1072
254,-96.1954,19.1064
255,-96.1956,19.1057
256,-96.1958,19.1049
257,-96.1959,19.1042
258,-96.1961,19.1034
259,-96.1962,19.1026
260,-96.1964,19.1019
261,-96.1966,19.1011
262,-96.1967,19.1003
263,-96.1969,19.0995
264,-96.1971,19.0987
265,-96.1973,19.098
266,-96.1974,19.0972
267,-96.1976,19.0964
268,-96.1978,19.0956
269,-96.198,19.0948
270,-96.1982,19.094
271,-96.1983,19.0932
272,-96.1985,19.0923
