,"LONGITUDE,","LATITUDE,"
0,-95.16333,29.605
1,-95.16333,29.60333
2,-95.16333,29.60333
3,-95.16333,29.601670000000002
4,-95.16333,29.601670000000002
5,-95.16333,29.601670000000002
6,-95.16333,29.6
7,-95.16333,29.6
8,-95.16333,29.598329999999997
9,-95.16333,29.598329999999997
10,-95.16333,29.59667
11,-95.16333,29.59667
12,-95.16333,29.595
13,-95.16333,29.595
14,-95.16333,29.595
15,-95.16333,29.593329999999998
16,-95.16333,29.593329999999998
17,-95.16333,29.59167
18,-95.16333,29.59167
19,-95.16333,29.59
20,-95.16333,29.59
21,-95.16333,29.58833
22,-95.16333,29.58833
23,-95.16333,29.58833
24,-95.16333,29.58667
25,-95.16333,29.58667
26,-95.16333,29.585
27,-95.16333,29.585
28,-95.16333,29.58333
29,-95.16333,29.58333
30,-95.16333,29.581670000000003
31,-95.16333,29.581670000000003
32,-95.16333,29.58
33,-95.16333,29.58
34,-95.16333,29.578329999999998
35,-95.16333,29.578329999999998
36,-95.16333,29.57667
37,-95.16333,29.57667
38,-95.16333,29.575
39,-95.16333,29.575
40,-95.16333,29.57333
41,-95.16333,29.57333
42,-95.16333,29.57167
43,-95.16333,29.57167
44,-95.16333,29.57167
45,-95.16333,29.57
46,-95.16333,29.57
47,-95.16333,29.56833
48,-95.16333,29.56833
49,-95.16333,29.566670000000002
50,-95.16333,29.566670000000002
51,-95.16333,29.565
52,-95.16333,29.565
53,-95.16333,29.56333
54,-95.16333,29.56167
55,-95.16333,29.56167
56,-95.16333,29.56
57,-95.16333,29.56
58,-95.16333,29.558329999999998
59,-95.16333,29.558329999999998
60,-95.16333,29.55667
61,-95.16333,29.55667
62,-95.16333,29.555
63,-95.16333,29.555
64,-95.16333,29.55333
65,-95.16333,29.55167
66,-95.16333,29.55167
67,-95.16333,29.55
68,-95.16333,29.55
69,-95.16333,29.54833
70,-95.16333,29.54833
71,-95.16333,29.546670000000002
72,-95.16333,29.545
73,-95.16333,29.545
74,-95.16333,29.543329999999997
75,-95.16333,29.543329999999997
76,-95.16333,29.54167
77,-95.16333,29.54
78,-95.16333,29.54
79,-95.16333,29.53833
80,-95.16333,29.53667
81,-95.16333,29.53667
82,-95.16333,29.535
83,-95.16333,29.535
84,-95.16333,29.53333
85,-95.16333,29.531670000000002
86,-95.16333,29.531670000000002
87,-95.16333,29.53
88,-95.16333,29.53
89,-95.16333,29.52833
90,-95.16333,29.526670000000003
91,-95.16333,29.526670000000003
92,-95.16333,29.525
93,-95.16333,29.523329999999998
94,-95.16333,29.523329999999998
95,-95.16333,29.52167
96,-95.16333,29.52167
97,-95.16333,29.52
98,-95.16333,29.51833
99,-95.16333,29.51833
100,-95.16333,29.51667
101,-95.16333,29.515
102,-95.16333,29.515
103,-95.16167,29.51333
104,-95.16167,29.511670000000002
105,-95.16167,29.511670000000002
106,-95.16167,29.51
107,-95.16167,29.508329999999997
108,-95.16167,29.508329999999997
109,-95.16167,29.50667
110,-95.16167,29.505
111,-95.16167,29.50333
112,-95.16167,29.50333
113,-95.16167,29.50167
114,-95.16167,29.5
115,-95.16167,29.5
116,-95.16167,29.49833
117,-95.16167,29.49667
118,-95.16167,29.49667
119,-95.16167,29.495
120,-95.16167,29.49333
121,-95.16167,29.49333
122,-95.16167,29.491670000000003
123,-95.16167,29.49
124,-95.16167,29.488329999999998
125,-95.16167,29.488329999999998
126,-95.16167,29.48667
127,-95.16167,29.485
128,-95.16167,29.485
129,-95.16167,29.48333
130,-95.16167,29.48167
131,-95.16167,29.48
132,-95.16167,29.48
133,-95.16167,29.47833
134,-95.16167,29.476670000000002
135,-95.16167,29.476670000000002
136,-95.16167,29.475
137,-95.16167,29.473329999999997
138,-95.16167,29.473329999999997
139,-95.16167,29.47167
140,-95.16167,29.47
141,-95.16167,29.468329999999998
142,-95.16167,29.468329999999998
143,-95.16167,29.46667
144,-95.16167,29.465
145,-95.16333,29.465
146,-95.16333,29.46333
147,-95.16333,29.46167
148,-95.16333,29.46167
149,-95.16333,29.46
150,-95.165,29.45833
151,-95.165,29.456670000000003
152,-95.165,29.456670000000003
153,-95.165,29.455
154,-95.16667,29.453329999999998
155,-95.16667,29.453329999999998
156,-95.16667,29.45167
157,-95.16667,29.45
158,-95.16833000000001,29.45
159,-95.16833000000001,29.44833
160,-95.17,29.44667
161,-95.17,29.44667
162,-95.17,29.445
163,-95.17166999999999,29.445
164,-95.17166999999999,29.44333
165,-95.17333,29.441670000000002
166,-95.17333,29.441670000000002
167,-95.17333,29.44
168,-95.175,29.44
169,-95.175,29.43833
170,-95.17667,29.43667
171,-95.17667,29.43667
172,-95.17833,29.435
173,-95.17833,29.435
174,-95.18,29.433329999999998
175,-95.18167,29.433329999999998
176,-95.18167,29.43167
177,-95.18333,29.43167
178,-95.18333,29.43
179,-95.185,29.43
180,-95.18666999999999,29.42833
181,-95.18666999999999,29.42833
182,-95.18833000000001,29.42667
183,-95.18833000000001,29.42667
184,-95.19,29.425
185,-95.19167,29.425
186,-95.19333,29.42333
187,-95.19333,29.42333
188,-95.195,29.42333
189,-95.19667,29.421670000000002
190,-95.19667,29.421670000000002
191,-95.19833,29.42
192,-95.2,29.42
193,-95.2,29.42
194,-95.20167,29.418329999999997
195,-95.20333000000001,29.418329999999997
196,-95.205,29.418329999999997
197,-95.205,29.41667
198,-95.20666999999999,29.41667
199,-95.20833,29.41667
200,-95.21,29.415
201,-95.21,29.415
202,-95.21167,29.41333
203,-95.21333,29.41333
204,-95.21333,29.41333
205,-95.215,29.41167
206,-95.21667,29.41167
207,-95.21667,29.41
208,-95.21833000000001,29.41
209,-95.22,29.41
210,-95.22,29.40833
211,-95.22166999999999,29.40833
212,-95.22333,29.406670000000002
213,-95.22333,29.406670000000002
214,-95.225,29.405
215,-95.225,29.405
216,-95.22667,29.40333
217,-95.22833,29.40333
218,-95.22833,29.401670000000003
219,-95.23,29.401670000000003
220,-95.23,29.4
221,-95.23,29.4
222,-95.23333000000001,29.398329999999998
223,-95.23333000000001,29.398329999999998
224,-95.235,29.39667
225,-95.235,29.395
226,-95.23666999999999,29.395
227,-95.23666999999999,29.39333
228,-95.23833,29.39333
229,-95.23833,29.39167
230,-95.23833,29.39167
231,-95.24,29.39
232,-95.24,29.38833
233,-95.24167,29.38833
234,-95.24167,29.386670000000002
235,-95.24333,29.386670000000002
236,-95.24333,29.385
237,-95.245,29.383329999999997
238,-95.245,29.383329999999997
239,-95.245,29.38167
240,-95.24667,29.38
241,-95.24667,29.38
242,-95.24833000000001,29.37833
243,-95.24833000000001,29.37833
244,-95.24833000000001,29.37667
245,-95.25,29.375
246,-95.25,29.37333
247,-95.25,29.37333
248,-95.25,29.37167
249,-95.25166999999999,29.37167
250,-95.25166999999999,29.37
251,-95.25166999999999,29.36833
252,-95.25333,29.366670000000003
253,-95.25333,29.366670000000003
254,-95.25333,29.365
255,-95.25333,29.363329999999998
256,-95.255,29.363329999999998
257,-95.255,29.36167
258,-95.255,29.36
259,-95.255,29.36
260,-95.25667,29.35833
261,-95.25667,29.35667
262,-95.25667,29.35667
263,-95.25667,29.355
264,-95.25833,29.35333
265,-95.25833,29.35333
266,-95.25833,29.351670000000002
267,-95.25833,29.35
268,-95.25833,29.35
269,-95.26,29.348329999999997
270,-95.26,29.34667
271,-95.26,29.34667
272,-95.26167,29.345
273,-95.26167,29.343329999999998
274,-95.26167,29.34167
