,GGLON,GGLAT
0,-122.285,47.9041
1,-122.286,47.9045
2,-122.286,47.905
3,-122.286,47.9055
4,-122.286,47.906
5,-122.286,47.9066
6,-122.286,47.9071
7,-122.286,47.9076
8,-122.286,47.9082
9,-122.286,47.9088
10,-122.286,47.9093
11,-122.286,47.9099
12,-122.286,47.9105
13,-122.286,47.9111
14,-122.286,47.9117
15,-122.286,47.9123
16,-122.286,47.9129
17,-122.286,47.9135
18,-122.286,47.9141
19,-122.286,47.9147
20,-122.286,47.9153
21,-122.286,47.9159
22,-122.286,47.9166
23,-122.286,47.9172
24,-122.286,47.9178
25,-122.286,47.9184
26,-122.286,47.9191
27,-122.286,47.9197
28,-122.286,47.9203
29,-122.286,47.921
30,-122.286,47.9216
31,-122.286,47.9222
32,-122.286,47.9229
33,-122.286,47.9235
34,-122.286,47.9242
35,-122.286,47.9249
36,-122.286,47.9255
37,-122.286,47.9262
38,-122.286,47.9268
39,-122.286,47.9275
40,-122.286,47.9281
41,-122.286,47.9288
42,-122.287,47.9294
43,-122.287,47.9301
44,-122.287,47.9307
45,-122.288,47.9313
46,-122.288,47.9319
47,-122.289,47.9325
48,-122.289,47.9331
49,-122.29,47.9337
50,-122.29,47.9343
51,-122.291,47.9349
52,-122.292,47.9355
53,-122.292,47.9362
54,-122.29299999999999,47.9368
55,-122.29299999999999,47.9374
56,-122.294,47.938
57,-122.295,47.9386
58,-122.295,47.9392
59,-122.296,47.9399
60,-122.296,47.9405
61,-122.29700000000001,47.9411
62,-122.29799999999999,47.9417
63,-122.29799999999999,47.9424
64,-122.29899999999999,47.943
65,-122.29899999999999,47.9436
66,-122.3,47.9442
67,-122.301,47.9449
68,-122.301,47.9455
69,-122.302,47.9461
70,-122.302,47.9468
71,-122.303,47.9474
72,-122.304,47.9481
73,-122.304,47.9487
74,-122.305,47.9493
75,-122.306,47.95
76,-122.306,47.9506
77,-122.307,47.9513
78,-122.30799999999999,47.9519
79,-122.30799999999999,47.9526
80,-122.309,47.9532
81,-122.31,47.9539
82,-122.31,47.9545
83,-122.311,47.9552
84,-122.31200000000001,47.9558
85,-122.31200000000001,47.9565
86,-122.31299999999999,47.9571
87,-122.314,47.9578
88,-122.314,47.9584
89,-122.315,47.9591
90,-122.316,47.9597
91,-122.316,47.9604
92,-122.31700000000001,47.9611
93,-122.318,47.9617
94,-122.319,47.9624
95,-122.319,47.963
96,-122.32,47.9637
97,-122.321,47.9644
98,-122.321,47.965
99,-122.322,47.9657
100,-122.323,47.9663
101,-122.323,47.967
102,-122.324,47.9677
103,-122.325,47.9683
104,-122.32600000000001,47.969
105,-122.32600000000001,47.9696
106,-122.32700000000001,47.9703
107,-122.32799999999999,47.971
108,-122.32799999999999,47.9716
109,-122.329,47.9723
110,-122.33,47.973
111,-122.331,47.9737
112,-122.331,47.9744
113,-122.33200000000001,47.975
114,-122.333,47.9757
115,-122.333,47.9764
116,-122.334,47.9771
117,-122.335,47.9778
118,-122.335,47.9785
119,-122.336,47.9792
120,-122.337,47.9798
121,-122.338,47.9805
122,-122.338,47.9812
123,-122.339,47.9819
124,-122.34,47.9826
125,-122.34,47.9833
126,-122.34100000000001,47.984
127,-122.34200000000001,47.9847
128,-122.34299999999999,47.9854
129,-122.34299999999999,47.9861
130,-122.344,47.9868
131,-122.345,47.9875
132,-122.345,47.9882
133,-122.346,47.9889
134,-122.34700000000001,47.9896
135,-122.348,47.9903
136,-122.348,47.991
137,-122.34899999999999,47.9917
138,-122.35,47.9924
139,-122.351,47.9932
140,-122.351,47.9939
141,-122.352,47.9946
142,-122.353,47.9953
143,-122.353,47.996
144,-122.354,47.9967
145,-122.355,47.9974
146,-122.35600000000001,47.9981
147,-122.35600000000001,47.9988
148,-122.35700000000001,47.9995
149,-122.35799999999999,48.0002
150,-122.359,48.0009
151,-122.359,48.0016
152,-122.36,48.0023
153,-122.361,48.003
154,-122.361,48.0037
155,-122.36200000000001,48.0044
156,-122.363,48.0051
157,-122.36399999999999,48.0058
158,-122.36399999999999,48.0065
159,-122.365,48.0072
160,-122.366,48.0079
161,-122.367,48.0086
162,-122.367,48.0093
163,-122.368,48.0101
164,-122.369,48.0108
165,-122.37,48.0115
166,-122.37,48.0122
167,-122.37100000000001,48.0129
168,-122.37200000000001,48.0136
169,-122.37200000000001,48.0143
170,-122.37299999999999,48.015
171,-122.374,48.0157
172,-122.375,48.0164
173,-122.375,48.0171
174,-122.376,48.0178
175,-122.37700000000001,48.0185
176,-122.37799999999999,48.0192
177,-122.37799999999999,48.02
178,-122.37899999999999,48.0207
179,-122.38,48.0214
180,-122.381,48.0221
181,-122.381,48.0228
182,-122.382,48.0235
183,-122.383,48.0242
184,-122.383,48.0249
185,-122.384,48.0256
186,-122.385,48.0263
187,-122.38600000000001,48.027
188,-122.38600000000001,48.0277
189,-122.387,48.0284
190,-122.38799999999999,48.0291
191,-122.389,48.0298
192,-122.389,48.0305
193,-122.39,48.0312
194,-122.391,48.0319
195,-122.39200000000001,48.0326
196,-122.39200000000001,48.0333
197,-122.39299999999999,48.034
198,-122.39399999999999,48.0347
199,-122.395,48.0354
200,-122.395,48.0361
201,-122.396,48.0368
202,-122.397,48.0375
203,-122.398,48.0382
204,-122.398,48.0389
205,-122.399,48.0396
206,-122.4,48.0403
207,-122.40100000000001,48.041
208,-122.40100000000001,48.0417
209,-122.402,48.0424
210,-122.40299999999999,48.0431
211,-122.404,48.0438
212,-122.404,48.0445
213,-122.405,48.0453
214,-122.406,48.046
215,-122.40700000000001,48.0467
216,-122.40700000000001,48.0474
217,-122.40799999999999,48.0481
218,-122.40899999999999,48.0489
219,-122.41,48.0496
220,-122.411,48.0503
221,-122.411,48.051
222,-122.412,48.0518
223,-122.413,48.0525
224,-122.414,48.0532
225,-122.414,48.0539
226,-122.415,48.0547
227,-122.416,48.0554
228,-122.417,48.0561
229,-122.41799999999999,48.0568
230,-122.41799999999999,48.0576
231,-122.419,48.0583
232,-122.42,48.059
233,-122.421,48.0597
234,-122.42200000000001,48.0605
235,-122.42200000000001,48.0612
236,-122.42299999999999,48.0619
237,-122.42399999999999,48.0627
238,-122.425,48.0634
239,-122.425,48.0641
240,-122.426,48.0649
241,-122.427,48.0656
242,-122.428,48.0663
243,-122.429,48.0671
244,-122.429,48.0678
245,-122.43,48.0685
246,-122.431,48.0692
247,-122.432,48.07
248,-122.43299999999999,48.0707
249,-122.434,48.0714
250,-122.434,48.0722
251,-122.435,48.0729
252,-122.436,48.0737
253,-122.43700000000001,48.0744
254,-122.43700000000001,48.0751
255,-122.43799999999999,48.0759
256,-122.439,48.0767
257,-122.44,48.0774
258,-122.44,48.0782
259,-122.441,48.079
260,-122.44200000000001,48.0798
261,-122.443,48.0806
262,-122.443,48.0814
263,-122.444,48.0822
264,-122.444,48.083
265,-122.445,48.0839
266,-122.446,48.0847
267,-122.446,48.0855
268,-122.447,48.0864
269,-122.447,48.0872
270,-122.448,48.0881
271,-122.448,48.0889
272,-122.449,48.0898
273,-122.449,48.0906
274,-122.45,48.0915
275,-122.45,48.0924
276,-122.45100000000001,48.0932
277,-122.45100000000001,48.0941
278,-122.45200000000001,48.095
279,-122.45200000000001,48.0958
280,-122.45299999999999,48.0967
281,-122.45299999999999,48.0976
282,-122.45299999999999,48.0984
283,-122.454,48.0993
284,-122.454,48.1002
285,-122.455,48.1011
286,-122.455,48.102
287,-122.455,48.1028
288,-122.456,48.1037
289,-122.456,48.1046
290,-122.45700000000001,48.1055
291,-122.45700000000001,48.1064
292,-122.458,48.1072
293,-122.458,48.1081
294,-122.458,48.109
295,-122.459,48.1099
296,-122.459,48.1107
297,-122.46,48.1116
298,-122.46,48.1125
299,-122.461,48.1134
300,-122.461,48.1142
301,-122.462,48.1151
302,-122.462,48.116
303,-122.462,48.1169
304,-122.463,48.1177
305,-122.463,48.1186
306,-122.464,48.1195
307,-122.464,48.1204
308,-122.465,48.1212
309,-122.465,48.1221
310,-122.46600000000001,48.123
311,-122.46600000000001,48.1239
312,-122.46700000000001,48.1247
313,-122.46700000000001,48.1256
314,-122.46799999999999,48.1265
315,-122.46799999999999,48.1273
316,-122.469,48.1282
317,-122.469,48.129
318,-122.47,48.1299
319,-122.47,48.1307
320,-122.471,48.1316
321,-122.47200000000001,48.1324
322,-122.47200000000001,48.1333
323,-122.473,48.1341
324,-122.473,48.135
325,-122.47399999999999,48.1358
326,-122.475,48.1367
327,-122.475,48.1375
328,-122.476,48.1384
329,-122.476,48.1392
330,-122.477,48.14
331,-122.478,48.1409
332,-122.478,48.1417
333,-122.479,48.1425
334,-122.48,48.1433
335,-122.48,48.1442
336,-122.48100000000001,48.145
337,-122.48200000000001,48.1458
338,-122.48200000000001,48.1467
339,-122.48299999999999,48.1475
340,-122.484,48.1483
341,-122.484,48.1491
342,-122.485,48.1499
343,-122.486,48.1508
344,-122.48700000000001,48.1516
345,-122.48700000000001,48.1524
346,-122.488,48.1532
347,-122.48899999999999,48.154
348,-122.48899999999999,48.1548
349,-122.49,48.1557
350,-122.491,48.1565
351,-122.492,48.1573
352,-122.492,48.1581
353,-122.493,48.1589
354,-122.494,48.1597
355,-122.494,48.1605
356,-122.495,48.1613
357,-122.49600000000001,48.1621
358,-122.49700000000001,48.1629
359,-122.49700000000001,48.1637
360,-122.49799999999999,48.1646
361,-122.499,48.1654
362,-122.5,48.1662
363,-122.5,48.167
364,-122.501,48.1678
365,-122.50200000000001,48.1686
366,-122.50299999999999,48.1693
367,-122.50299999999999,48.1702
368,-122.50399999999999,48.1709
369,-122.505,48.1717
370,-122.506,48.1725
371,-122.506,48.1733
372,-122.507,48.1741
373,-122.508,48.1749
374,-122.509,48.1757
375,-122.51,48.1765
376,-122.51,48.1773
377,-122.51100000000001,48.1781
378,-122.512,48.1789
379,-122.51299999999999,48.1796
380,-122.51299999999999,48.1804
381,-122.514,48.1812
382,-122.515,48.182
383,-122.516,48.1828
384,-122.516,48.1836
385,-122.51700000000001,48.1844
386,-122.51799999999999,48.1852
387,-122.51899999999999,48.1859
388,-122.51899999999999,48.1867
389,-122.52,48.1875
390,-122.521,48.1883
391,-122.522,48.1891
392,-122.522,48.1898
393,-122.523,48.1906
394,-122.524,48.1914
395,-122.525,48.1922
396,-122.525,48.193
397,-122.52600000000001,48.1938
398,-122.527,48.1946
399,-122.52799999999999,48.1954
400,-122.529,48.1961
401,-122.529,48.1969
402,-122.53,48.1977
403,-122.531,48.1985
404,-122.53200000000001,48.1993
405,-122.53200000000001,48.2001
406,-122.53299999999999,48.2009
407,-122.53399999999999,48.2016
408,-122.535,48.2024
409,-122.536,48.2031
410,-122.537,48.2038
411,-122.538,48.2044
412,-122.539,48.2051
413,-122.54,48.2057
414,-122.541,48.2063
415,-122.54299999999999,48.2068
416,-122.544,48.2073
417,-122.545,48.2078
418,-122.546,48.2082
419,-122.54799999999999,48.2086
420,-122.54899999999999,48.209
421,-122.551,48.2093
422,-122.552,48.2096
423,-122.554,48.2099
424,-122.555,48.2101
425,-122.556,48.2103
426,-122.55799999999999,48.2104
427,-122.559,48.2105
428,-122.561,48.2106
429,-122.56200000000001,48.2106
430,-122.564,48.2107
431,-122.566,48.2106
432,-122.56700000000001,48.2106
433,-122.569,48.2105
434,-122.57,48.2105
435,-122.572,48.2104
436,-122.573,48.2103
437,-122.575,48.2102
438,-122.57600000000001,48.21
439,-122.57799999999999,48.2099
440,-122.579,48.2097
441,-122.581,48.2096
442,-122.58200000000001,48.2094
443,-122.584,48.2092
