,LONGITUDE,LATITUDE
0,-89.815,38.54167
1,-89.815,38.54
2,-89.81567,38.54167
3,-89.815,38.54167
4,-89.815,38.54
5,-89.81333000000001,38.54
6,-89.81333000000001,38.54
7,-89.81166999999999,38.53833
8,-89.81166999999999,38.53833
9,-89.81166999999999,38.53833
10,-89.81,38.53667
11,-89.81,38.53667
12,-89.80833,38.53667
13,-89.80833,38.535
14,-89.80667,38.535
15,-89.80667,38.53333
16,-89.805,38.53333
17,-89.805,38.53333
18,-89.805,38.53167
19,-89.80333,38.53167
20,-89.80333,38.53167
21,-89.80167,38.53
22,-89.80167,38.53
23,-89.8,38.53
24,-89.8,38.52833
25,-89.8,38.52833
26,-89.79833,38.52667
27,-89.79833,38.52667
28,-89.79666999999999,38.52667
29,-89.79666999999999,38.525
30,-89.795,38.525
31,-89.795,38.52333
32,-89.79333000000001,38.52333
33,-89.79333000000001,38.52333
34,-89.79167,38.52167
35,-89.79167,38.52167
36,-89.79,38.52167
37,-89.79,38.52
38,-89.78833,38.52
39,-89.78833,38.52
40,-89.78667,38.51833
41,-89.785,38.51833
42,-89.785,38.51833
43,-89.78333,38.51667
44,-89.78333,38.51667
45,-89.78166999999999,38.51667
46,-89.78,38.51667
47,-89.78,38.515
48,-89.77833000000001,38.515
49,-89.77667,38.515
50,-89.775,38.515
51,-89.775,38.515
52,-89.77333,38.515
53,-89.77167,38.515
54,-89.77,38.513329999999996
55,-89.77,38.513329999999996
56,-89.76833,38.513329999999996
57,-89.76666999999999,38.513329999999996
58,-89.765,38.513329999999996
59,-89.765,38.513329999999996
60,-89.76333000000001,38.513329999999996
61,-89.76167,38.513329999999996
62,-89.76,38.513329999999996
63,-89.76,38.513329999999996
64,-89.75833,38.513329999999996
65,-89.75667,38.513329999999996
66,-89.755,38.513329999999996
67,-89.755,38.515
68,-89.75333,38.515
69,-89.75166999999999,38.515
70,-89.75166999999999,38.515
71,-89.75,38.515
72,-89.74833000000001,38.515
73,-89.74667,38.51667
74,-89.74667,38.51667
75,-89.745,38.51667
76,-89.74333,38.51667
77,-89.74333,38.51833
78,-89.74167,38.51833
79,-89.74,38.51833
80,-89.74,38.51833
81,-89.73833,38.52
82,-89.73666999999999,38.52
83,-89.73666999999999,38.52
84,-89.735,38.52167
85,-89.735,38.52167
86,-89.73333000000001,38.52333
87,-89.73167,38.52333
88,-89.73167,38.52333
89,-89.73,38.525
90,-89.72833,38.525
91,-89.72833,38.52667
92,-89.72667,38.52667
93,-89.72667,38.52833
94,-89.725,38.52833
95,-89.725,38.53
96,-89.72333,38.53
97,-89.72333,38.53167
98,-89.72166999999999,38.53167
99,-89.72,38.53333
100,-89.72,38.53333
101,-89.71833000000001,38.535
102,-89.71833000000001,38.535
103,-89.71833000000001,38.53667
104,-89.71667,38.53667
105,-89.71667,38.53833
106,-89.715,38.53833
107,-89.715,38.54
108,-89.71333,38.54167
109,-89.71333,38.54167
110,-89.71333,38.54333
111,-89.71167,38.54333
112,-89.71167,38.545
113,-89.71,38.54667
114,-89.71,38.54667
115,-89.71,38.54833
116,-89.71,38.55
117,-89.70833,38.55
118,-89.70833,38.55167
119,-89.70833,38.55167
120,-89.70666999999999,38.553329999999995
121,-89.70666999999999,38.555
122,-89.70666999999999,38.555
123,-89.70666999999999,38.556670000000004
124,-89.705,38.55833
125,-89.705,38.55833
126,-89.705,38.56
127,-89.705,38.56167
128,-89.705,38.56167
129,-89.705,38.56333
130,-89.70333000000001,38.565
131,-89.70333000000001,38.565
132,-89.70333000000001,38.56667
133,-89.70333000000001,38.568329999999996
134,-89.70333000000001,38.57
135,-89.70333000000001,38.57
136,-89.70333000000001,38.571670000000005
137,-89.70167,38.57333
138,-89.70167,38.57333
139,-89.70167,38.575
140,-89.70167,38.57667
141,-89.70167,38.57667
142,-89.70167,38.57833
143,-89.70167,38.58
144,-89.7,38.58
145,-89.7,38.58167
146,-89.7,38.58333
147,-89.7,38.585
148,-89.7,38.585
149,-89.7,38.58667
150,-89.7,38.58833
151,-89.69833,38.58833
152,-89.69833,38.59
153,-89.69833,38.59167
154,-89.69833,38.59333
155,-89.69833,38.59333
156,-89.69833,38.595
157,-89.69833,38.59667
158,-89.69667,38.59833
159,-89.69667,38.59833
160,-89.69667,38.6
161,-89.69667,38.60167
162,-89.69667,38.60167
163,-89.69667,38.60333
164,-89.69667,38.605
165,-89.695,38.60667
166,-89.695,38.60667
167,-89.695,38.60833
168,-89.695,38.61
169,-89.695,38.611670000000004
170,-89.695,38.611670000000004
171,-89.695,38.61333
172,-89.695,38.615
173,-89.695,38.615
174,-89.69333,38.61667
175,-89.69333,38.61833
176,-89.69333,38.62
177,-89.69333,38.62
178,-89.69333,38.62167
179,-89.69333,38.623329999999996
180,-89.69333,38.625
181,-89.69333,38.625
182,-89.69333,38.626670000000004
183,-89.69167,38.62833
184,-89.69167,38.62833
185,-89.69167,38.63
186,-89.69167,38.63167
187,-89.69167,38.63333
188,-89.69167,38.63333
189,-89.69167,38.635
190,-89.69167,38.63667
191,-89.69167,38.638329999999996
192,-89.69167,38.638329999999996
193,-89.69,38.64
194,-89.69,38.64167
195,-89.69,38.64333
196,-89.69,38.64333
197,-89.69,38.645
198,-89.69,38.64667
199,-89.69,38.64667
200,-89.69,38.64833
201,-89.69,38.65
202,-89.69,38.65167
203,-89.69,38.65167
204,-89.69,38.65333
205,-89.69,38.655
206,-89.69,38.65667
207,-89.69,38.65667
208,-89.69,38.65833
209,-89.68833000000001,38.66
210,-89.68833000000001,38.66167
211,-89.68833000000001,38.66167
212,-89.68833000000001,38.66333
213,-89.68833000000001,38.665
214,-89.68833000000001,38.66667
215,-89.68833000000001,38.66667
216,-89.68833000000001,38.66833
217,-89.68833000000001,38.67
218,-89.68833000000001,38.67167
219,-89.68833000000001,38.67167
220,-89.68833000000001,38.67333
221,-89.68833000000001,38.675
222,-89.68833000000001,38.67667
223,-89.68833000000001,38.678329999999995
224,-89.68833000000001,38.678329999999995
225,-89.68833000000001,38.68
226,-89.68833000000001,38.681670000000004
227,-89.68666999999999,38.68333
228,-89.68666999999999,38.68333
229,-89.68666999999999,38.685
230,-89.68666999999999,38.68667
231,-89.68666999999999,38.68833
232,-89.68666999999999,38.69
233,-89.68666999999999,38.69
234,-89.68666999999999,38.69167
235,-89.68666999999999,38.693329999999996
236,-89.68666999999999,38.695
237,-89.68666999999999,38.696670000000005
238,-89.68666999999999,38.696670000000005
239,-89.68666999999999,38.69833
240,-89.68666999999999,38.7
241,-89.68666999999999,38.70167
242,-89.68666999999999,38.70333
243,-89.685,38.70333
244,-89.685,38.705
245,-89.685,38.70667
246,-89.685,38.70833
247,-89.685,38.71
248,-89.685,38.71
249,-89.685,38.71167
250,-89.685,38.71333
251,-89.685,38.715
252,-89.685,38.71667
253,-89.685,38.71667
254,-89.685,38.71833
255,-89.685,38.72
256,-89.685,38.72167
257,-89.685,38.72333
